,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
19,page,0,1,28,0,2,2,5,0,37,2.045829480738214,0.7567567567567568,0.0,0.05405405405405406,0.05405405405405406,0.13513513513513514,0.0,0.9935714355766191,g
20,former trump adviser,0,3,5,47,0,0,0,0,52,2.994939035205165,0.09615384615384616,0.9038461538461539,0.0,0.0,0.0,0.0,0.007500837136530195,b
21,the washington,0,2,9,1,0,0,0,0,10,0.33743228269770226,0.9,0.1,0.0,0.0,0.0,0.0,0.9999963491289214,g
22,sean,0,1,0,0,1,0,0,0,1,-0.23203344998246828,0.0,0.0,1.0,0.0,0.0,0.0,0.04912697568208058,b
23,hocaust centers,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
24,chris hayes,0,2,3,0,0,0,0,0,3,-0.10548550938687482,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
25,us,0,1,0,0,1,13,61,0,75,4.4502403520544895,0.0,0.0,0.013333333333333334,0.17333333333333334,0.8133333333333334,0.0,0.009398402946903663,b
26,libs,0,1,4,0,1,0,1,0,6,0.08433640150651538,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.9790762040155215,g
27,doj,0,1,0,0,0,2,0,0,2,-0.16875947968467153,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
28,the syria,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
29,wapo,0,1,3,0,0,2,0,0,5,0.021062431208718646,0.6,0.0,0.0,0.4,0.0,0.0,0.9999846466876517,g
30,american,0,1,16,0,0,1,2,0,19,0.9068980153778728,0.8421052631578947,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.9963272294244481,g
31,dems,0,1,9,0,3,1,0,0,13,0.5272541935910925,0.6923076923076923,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.9917930532330149,g
32,obama,0,1,17,0,6,1,1,0,25,1.2865418371646533,0.68,0.0,0.24,0.04,0.04,0.0,0.9879631643597221,g
33,manafort,0,1,4,0,0,0,0,0,4,-0.042211539089078084,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
34,wapo carter,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
35,comey,0,1,6,0,3,1,1,0,11,0.400706252995499,0.5454545454545454,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.9695305785021675,g
36,gop,0,1,0,0,0,22,0,0,22,1.096719926271263,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
37,george,0,1,2,0,1,0,0,0,3,-0.10548550938687482,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.9807803581600414,g
38,jd wire,0,2,0,1,0,0,0,0,1,-0.23203344998246828,0.0,1.0,0.0,0.0,0.0,0.0,0.002080584845306822,b
39,intel,0,1,2,0,0,0,2,0,4,-0.042211539089078084,0.5,0.0,0.0,0.0,0.5,0.0,0.695459922951197,a
40,breitbart,0,1,2,0,0,0,0,0,2,-0.16875947968467153,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
41,nunes,0,1,5,0,2,0,0,0,7,0.1476103718043121,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.9876104393969536,g
42,white house,0,2,2,0,0,1,0,0,3,-0.10548550938687482,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.9999957379576783,g
43,rep,0,1,6,0,1,0,2,0,9,0.27415831239990557,0.6666666666666666,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.9762003006634337,g
44,schiff,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
45,comrade comey,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
46,hillary,0,1,11,0,0,1,0,0,12,0.46398022329329575,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.9999874393468212,g
47,andrew mccabe,0,2,4,0,0,0,0,0,4,-0.042211539089078084,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
48,lynch,0,1,4,0,0,0,0,0,4,-0.042211539089078084,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
