candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
edgar hoover,0,2,16,0,0,0,0,0,16,-0.0789687402,1,0,0,0,0,0,0.9862517368,g,1
dick gregory,0,2,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.9862517368,g,1
may god,0,2,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.9862517368,g,1
holds barred,0,2,22,0,0,0,0,0,22,-0.0732976158,1,0,0,0,0,0,0.9862517368,g,1
rosa parks,0,2,11,0,0,0,0,0,11,-0.0836946772,1,0,0,0,0,0,0.9862517368,g,1
black americans,0,2,22,0,0,0,0,0,22,-0.0732976158,1,0,0,0,0,0,0.9862517368,g,1
day long,0,2,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9862517368,g,1
new york,0,2,10,0,0,0,0,0,10,-0.0846398646,1,0,0,0,0,0,0.9862517368,g,1
green party,0,2,36,0,0,0,0,0,36,-0.0600649923,1,0,0,0,0,0,0.9862517368,g,1
betty shabazz,0,2,20,0,0,0,0,0,20,-0.0751879906,1,0,0,0,0,0,0.9862517368,g,1
energy energy,0,2,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9862517368,g,1
joe rosenthal,0,2,247,0,0,0,0,0,247,0.1393695485,1,0,0,0,0,0,0.9862517368,g,1
michael winston,0,2,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9862517368,g,1
vietnam war,0,2,13,0,0,0,0,0,13,-0.0818043024,1,0,0,0,0,0,0.9862517368,g,1
may allah,0,2,14,0,0,0,0,0,14,-0.080859115,1,0,0,0,0,0,0.9862517368,g,1
sarah kendzior,0,2,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9862517368,g,1
barack obama,0,2,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.9862517368,g,1
asian americans,0,2,10,0,0,0,0,0,10,-0.0846398646,1,0,0,0,0,0,0.9862517368,g,1
asian black,0,2,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9862517368,g,1
lester holt,0,2,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9862517368,g,1
talcom x,0,2,95,0,0,0,0,0,95,-0.0042989358,1,0,0,0,0,0,0.9862517368,g,1
manning marable,0,2,16,0,0,0,0,0,16,-0.0789687402,1,0,0,0,0,0,0.9862517368,g,1
ossie davis,0,2,547,0,0,0,0,0,547,0.4229257677,1,0,0,0,0,0,0.9862517368,g,1
middle east,0,2,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.9862517368,g,1
maya angelou,0,2,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9862517368,g,1
paul buhle,0,2,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.9862517368,g,1
malcolm little,0,2,3372,0,0,0,0,17,3389,3.1091483503,0.994983771,0,0,0,0,0.005016229,0.9859560223,g,1
leafly,0,1,11,0,0,0,0,1,12,-0.0827494898,0.9166666667,0,0,0,0,0.0833333333,0.9858580282,g,1
lorraine hansberry,0,2,425,0,0,0,0,3,428,0.3104484674,0.9929906542,0,0,0,0,0.0070093458,0.9858363832,g,1
black liberation,0,2,131,0,0,0,1,0,132,0.0306729979,0.9924242424,0,0,0,0.0075757576,0,0.9851996333,g,1
harlem,0,1,200,0,6,3,0,16,225,0.1185754258,0.8888888889,0,0.0266666667,0.0133333333,0,0.0711111111,0.9849901268,g,1
youtube,0,1,9,0,0,0,0,1,10,-0.0846398646,0.9,0,0,0,0,0.1,0.9847538682,g,1
grace jones,0,2,421,0,0,0,0,11,432,0.314229217,0.974537037,0,0,0,0,0.025462963,0.9846681304,g,1
hajj malik,0,2,688,2,0,1,0,21,712,0.5788816882,0.9662921348,0.0028089888,0,0.0014044944,0,0.029494382,0.984148561,g,1
london,0,1,8,0,0,0,0,1,9,-0.085585052,0.8888888889,0,0,0,0,0.1111111111,0.9839619615,g,1
harper,0,1,8,0,0,0,0,1,9,-0.085585052,0.8888888889,0,0,0,0,0.1111111111,0.9839619615,g,1
iran,0,1,6,0,1,0,0,0,7,-0.0874754268,0.8571428571,0,0.1428571429,0,0,0,0.983762009,g,1
elijah muhammad,0,2,20,0,0,0,0,1,21,-0.0742428032,0.9523809524,0,0,0,0,0.0476190476,0.9831095744,g,1
obama,0,1,7,0,0,0,0,1,8,-0.0865302394,0.875,0,0,0,0,0.125,0.9829044252,g,1
rev,0,1,7,0,0,0,0,1,8,-0.0865302394,0.875,0,0,0,0,0.125,0.9829044252,g,1
democrat,0,1,6,0,0,0,0,1,7,-0.0874754268,0.8571428571,0,0,0,0,0.1428571429,0.9814254359,g,1
farrakhan,0,1,15,0,2,0,0,1,18,-0.0770783654,0.8333333333,0,0.1111111111,0,0,0.0555555556,0.981396795,g,1
eve arnold,0,2,13,0,0,0,0,1,14,-0.080859115,0.9285714286,0,0,0,0,0.0714285714,0.9812219555,g,1
mal,0,1,17,0,0,0,0,3,20,-0.0751879906,0.85,0,0,0,0,0.15,0.9807935663,g,1
black lives,0,2,11,0,0,0,0,1,12,-0.0827494898,0.9166666667,0,0,0,0,0.0833333333,0.9801865951,g,1
black youth,0,2,11,0,0,0,0,1,12,-0.0827494898,0.9166666667,0,0,0,0,0.0833333333,0.9801865951,g,1
alex haley,0,2,22,0,0,0,0,2,24,-0.071407241,0.9166666667,0,0,0,0,0.0833333333,0.9801865951,g,1
malcom,0,1,4,0,1,0,0,0,5,-0.0893658016,0.8,0,0.2,0,0,0,0.9797964345,g,1
chicago,0,1,5,0,0,0,0,1,6,-0.0884206142,0.8333333333,0,0,0,0,0.1666666667,0.9792228274,g,1
jesse,0,1,12,0,0,0,1,0,13,-0.0818043024,0.9230769231,0,0,0,0.0769230769,0,0.9785699043,g,1
black,0,1,4100,0,5,3,334,54,4496,4.1554707989,0.9119217082,0,0.0011120996,0.0006672598,0.0742882562,0.0120106762,0.9778839054,g,1
garvey,0,1,12,0,1,0,0,2,15,-0.0799139276,0.8,0,0.0666666667,0,0,0.1333333333,0.9772962399,g,1
james baldwin,0,2,15,0,0,0,0,2,17,-0.0780235528,0.8823529412,0,0,0,0,0.1176470588,0.976815672,g,1
basquiat,0,1,21,0,0,0,0,5,26,-0.0695168662,0.8076923077,0,0,0,0,0.1923076923,0.9765185801,g,1
yuri kochiyama,0,2,202,0,0,0,0,28,230,0.1233013628,0.8782608696,0,0,0,0,0.1217391304,0.9763718351,g,1
shaun,0,1,4,0,0,0,0,1,5,-0.0893658016,0.8,0,0,0,0,0.2,0.9756330847,g,1
muslims,0,1,20,0,0,0,2,0,22,-0.0732976158,0.9090909091,0,0,0,0.0909090909,0,0.9752337572,g,1
new post,0,2,7,1,0,0,0,0,8,-0.0865302394,0.875,0.125,0,0,0,0,0.9749017692,g,1
black muslim,0,2,20,3,0,0,0,0,23,-0.0723524284,0.8695652174,0.1304347826,0,0,0,0,0.9742051664,g,1
malcolm x,0,2,33823,131,0,40,32,5327,39353,37.1018679003,0.8594770411,0.0033288441,0,0.0010164409,0.0008131527,0.1353645211,0.9741413759,g,1
black muslims,0,2,29,0,0,0,2,0,31,-0.0647909292,0.935483871,0,0,0,0.064516129,0,0.9739597799,g,1
martin,0,1,11,0,0,0,0,3,14,-0.080859115,0.7857142857,0,0,0,0,0.2142857143,0.9738898918,g,1
nashville predators,0,2,21,0,0,0,0,4,25,-0.0704620536,0.84,0,0,0,0,0.16,0.971728909,g,1
johnny depp,0,2,21,0,0,0,0,4,25,-0.0704620536,0.84,0,0,0,0,0.16,0.971728909,g,1
white liberals,0,2,71,3,0,0,4,1,79,-0.0194219342,0.8987341772,0.0379746835,0,0,0.0506329114,0.0126582278,0.9712042957,g,1
bayard rustin,0,2,5,0,0,0,0,1,6,-0.0884206142,0.8333333333,0,0,0,0,0.1666666667,0.9708207477,g,1
blm twitter,0,2,5,1,0,0,0,0,6,-0.0884206142,0.8333333333,0.1666666667,0,0,0,0,0.9689763662,g,1
islam,0,1,39,0,2,0,0,12,53,-0.0439968065,0.7358490566,0,0.0377358491,0,0,0.2264150943,0.9680363095,g,1
black radicalism,0,2,9,2,0,0,0,0,11,-0.0836946772,0.8181818182,0.1818181818,0,0,0,0,0.966454648,g,1
ryan fitzpatrick,0,2,4,0,0,0,0,1,5,-0.0893658016,0.8,0,0,0,0,0.2,0.9657757596,g,1
ilyasah shabazz,0,2,4,0,0,0,0,1,5,-0.0893658016,0.8,0,0,0,0,0.2,0.9657757596,g,1
warning black america,0,3,70,0,0,0,0,0,70,-0.0279286208,1,0,0,0,0,0,0.965218502,g,1
robert penn warren,0,3,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.965218502,g,1
malcolm x returns,0,3,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.965218502,g,1
vector artwork process,0,3,12,0,0,0,0,0,12,-0.0827494898,1,0,0,0,0,0,0.965218502,g,1
honourable marcus gar,0,3,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.965218502,g,1
votes malcolm x,0,3,9,0,0,0,0,0,9,-0.085585052,1,0,0,0,0,0,0.965218502,g,1
view malcolm x,0,3,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.965218502,g,1
gandhi malcolm x,0,3,17,0,0,0,0,0,17,-0.0780235528,1,0,0,0,0,0,0.965218502,g,1
born yuri kochiyama,0,3,16,0,0,0,0,0,16,-0.0789687402,1,0,0,0,0,0,0.965218502,g,1
white europeans american,0,3,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.965218502,g,1
plymouth rock—plymouth rock,0,3,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.965218502,g,1
popular on google,0,3,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.965218502,g,1
vector on canvas,0,3,29,0,0,0,0,0,29,-0.066681304,1,0,0,0,0,0,0.965218502,g,1
us realizing democrats,0,3,27,0,0,0,0,0,27,-0.0685716788,1,0,0,0,0,0,0.965218502,g,1
andre the giant,0,3,19,0,0,0,0,0,19,-0.076133178,1,0,0,0,0,0,0.965218502,g,1
honorable elijah muhammad,0,3,21,0,0,0,0,0,21,-0.0742428032,1,0,0,0,0,0,0.965218502,g,1
new york city,0,3,13,0,0,0,0,0,13,-0.0818043024,1,0,0,0,0,0,0.965218502,g,1
muslim in america,0,3,9,0,0,0,0,0,9,-0.085585052,1,0,0,0,0,0,0.965218502,g,1
malcom x,0,2,39,0,0,0,0,10,49,-0.0477775561,0.7959183673,0,0,0,0,0.2040816327,0.9650958319,g,1
martyrdom,0,1,7,0,0,0,1,0,8,-0.0865302394,0.875,0,0,0,0.125,0,0.9646519113,g,1
turkeynopork,0,1,5,0,0,0,0,2,7,-0.0874754268,0.7142857143,0,0,0,0,0.2857142857,0.9629062529,g,1
remembering malcolm x,0,3,480,3,0,0,0,6,489,0.3681048986,0.981595092,0.0061349693,0,0,0,0.0122699387,0.9628850291,g,1
nation of islam,0,3,109,0,0,0,0,3,112,0.0117692499,0.9732142857,0,0,0,0,0.0267857143,0.961896822,g,1
denzel washington,0,2,7,0,0,0,0,2,9,-0.085585052,0.7777777778,0,0,0,0,0.2222222222,0.9618940785,g,1
mlk jr,0,2,7,1,0,0,0,1,9,-0.085585052,0.7777777778,0.1111111111,0,0,0,0.1111111111,0.960731838,g,1
russia,0,1,4,0,1,0,0,1,6,-0.0884206142,0.6666666667,0,0.1666666667,0,0,0.1666666667,0.9604244108,g,1
organization,0,1,12,0,0,0,2,0,14,-0.080859115,0.8571428571,0,0,0,0.1428571429,0,0.9573610656,g,1
oxford union,0,2,6,0,0,0,0,2,8,-0.0865302394,0.75,0,0,0,0,0.25,0.9563736061,g,1
conservatives,0,1,3,0,2,0,0,0,5,-0.0893658016,0.6,0,0.4,0,0,0,0.9540348601,g,1
hon,0,1,6,0,0,0,0,3,9,-0.085585052,0.6666666667,0,0,0,0,0.3333333333,0.9529565765,g,1
spike lee,0,2,12,0,0,0,0,5,17,-0.0780235528,0.7058823529,0,0,0,0,0.2941176471,0.9458309676,g,1
general,0,1,5,0,0,0,1,0,6,-0.0884206142,0.8333333333,0,0,0,0.1666666667,0,0.945225548,g,1
american justice,0,2,7,0,0,0,0,3,10,-0.0846398646,0.7,0,0,0,0,0.3,0.9442399341,g,1
malcolm,0,1,252,0,21,1,3,126,403,0.2868187825,0.6253101737,0,0.0521091811,0.0024813896,0.0074441687,0.3126550868,0.9434813641,g,1
donald trump,0,2,5,2,0,0,0,0,7,-0.0874754268,0.7142857143,0.2857142857,0,0,0,0,0.9420687886,g,1
michigan,0,1,10,0,0,0,0,6,16,-0.0789687402,0.625,0,0,0,0,0.375,0.9420329803,g,1
denzel,0,1,39,0,25,0,2,0,66,-0.0317093703,0.5909090909,0,0.3787878788,0,0.0303030303,0,0.9418389306,g,1
pbs,0,1,0,0,0,6,0,0,6,-0.0884206142,0,0,0,1,0,0,0.9413243611,g,1
transwomen,0,1,0,0,0,29,0,0,29,-0.066681304,0,0,0,1,0,0,0.9413243611,g,1
pnp,0,1,0,0,0,6,0,0,6,-0.0884206142,0,0,0,1,0,0,0.9413243611,g,1
powerhouse,0,1,0,0,0,5,0,0,5,-0.0893658016,0,0,0,1,0,0,0.9413243611,g,1
cnn,0,1,0,0,0,179,0,0,179,0.0750968055,0,0,0,1,0,0,0.9413243611,g,1
dnc,0,1,0,0,0,29,0,0,29,-0.066681304,0,0,0,1,0,0,0.9413243611,g,1
nypd,0,1,0,0,0,222,0,0,222,0.1157398636,0,0,0,1,0,0,0.9413243611,g,1
rac,0,1,0,0,0,178,0,0,178,0.0741516181,0,0,0,1,0,0,0.9413243611,g,1
ola ray,0,2,21,0,0,0,0,10,31,-0.0647909292,0.6774193548,0,0,0,0,0.3225806452,0.9376815705,g,1
celebrating malcolm x,0,3,92,16,0,0,0,0,108,0.0079885003,0.8518518519,0.1481481481,0,0,0,0,0.9373176808,g,1
