,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
54536,mz,2,1,0,0,0,1,2,3,6,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.42406657647938395,a
54608,itc,1,1,1,0,0,3,4,1,9,0.1111111111111111,0.0,0.0,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.4420397065618582,a
54612,paranormal activity,0,2,5,1,0,0,6,1,13,0.38461538461538464,0.07692307692307693,0.0,0.0,0.46153846153846156,0.07692307692307693,0.4411326441043818,a
54627,que deus,0,2,10,34,0,1,1,9,55,0.18181818181818182,0.6181818181818182,0.0,0.01818181818181818,0.01818181818181818,0.16363636363636364,0.4670500791866636,a
54650,hilton,1,1,3,0,0,0,4,5,12,0.25,0.0,0.0,0.0,0.3333333333333333,0.4166666666666667,0.52663931928947,a
54830,horee,2,1,2,0,3,0,2,2,9,0.2222222222222222,0.0,0.3333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.5018290419209823,a
54838,damm,2,1,3,0,6,1,4,10,24,0.125,0.0,0.25,0.041666666666666664,0.16666666666666666,0.4166666666666667,0.5519086710831135,a
54896,farhat abbas,3,2,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5690848983030309,a
54908,morgan freeman,0,2,1,1,0,0,1,2,5,0.2,0.2,0.0,0.0,0.2,0.4,0.5348331575037031,a
54977,ngambang,1,1,1,0,0,1,2,1,5,0.2,0.0,0.0,0.2,0.4,0.2,0.5007045183365324,a
55017,one less lonely girl,0,4,2,2,0,0,0,3,7,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.419560330291612,a
55055,cx,1,1,2,0,0,0,3,3,8,0.25,0.0,0.0,0.0,0.375,0.375,0.47493986646133024,a
55069,elisa,2,1,2,0,1,0,2,2,7,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.553002324719927,a
55152,dengarkan,3,1,1,0,1,0,1,2,5,0.2,0.0,0.2,0.0,0.2,0.4,0.5688460583186827,a
55173,udahlah,3,1,2,0,3,0,2,1,8,0.25,0.0,0.375,0.0,0.25,0.125,0.4691355861027886,a
55213,db,0,1,1,0,1,10,11,8,31,0.03225806451612903,0.0,0.03225806451612903,0.3225806451612903,0.3548387096774194,0.25806451612903225,0.482007587966891,a
55300,phineas,2,1,2,0,2,0,1,1,6,0.3333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.6456432211983889,a
55439,bol,0,1,9,0,1,6,18,9,43,0.20930232558139536,0.0,0.023255813953488372,0.13953488372093023,0.4186046511627907,0.20930232558139536,0.4453056451376355,a
55470,evolution,2,1,1,0,3,0,3,7,14,0.07142857142857142,0.0,0.21428571428571427,0.0,0.21428571428571427,0.5,0.4495532863775658,a
55528,follow 2,1,2,1,0,0,1,2,3,7,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5610030895799126,a
55558,merelakan,2,1,2,0,2,0,1,1,6,0.3333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.6456432211983889,a
55638,walmart,0,1,21,0,6,2,25,25,79,0.26582278481012656,0.0,0.0759493670886076,0.02531645569620253,0.31645569620253167,0.31645569620253167,0.5402464982356292,a
55659,deusa,1,1,4,0,0,1,4,2,11,0.36363636363636365,0.0,0.0,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.6112827328952836,a
55779,beeijos,0,1,4,0,3,0,13,25,45,0.08888888888888889,0.0,0.06666666666666667,0.0,0.28888888888888886,0.5555555555555556,0.43377622543416744,a
55993,fallout,1,1,3,0,4,0,3,5,15,0.2,0.0,0.26666666666666666,0.0,0.2,0.3333333333333333,0.5413605118814482,a
56001,elegushi,1,1,1,0,0,1,2,1,5,0.2,0.0,0.0,0.2,0.4,0.2,0.5007045183365324,a
56058,heritage,4,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
56110,ngerepotin,4,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
56178,yeezy taught,0,2,1,2,0,0,1,2,6,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.46705770155398696,a
56190,tees,5,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
56247,hakk,3,1,2,0,1,0,2,1,6,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5186086736548681,a
56292,imb,1,1,0,0,0,19,12,6,37,0.0,0.0,0.0,0.5135135135135135,0.32432432432432434,0.16216216216216217,0.596367676833777,a
56333,jeszcze,4,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
56368,ferrari,0,1,6,0,1,0,10,12,29,0.20689655172413793,0.0,0.034482758620689655,0.0,0.3448275862068966,0.41379310344827586,0.46628187939741217,a
56375,purple glasses,4,2,1,0,0,0,2,5,8,0.125,0.0,0.0,0.0,0.25,0.625,0.5268795381889357,a
56394,mtl,1,1,0,0,0,5,3,0,8,0.0,0.0,0.0,0.625,0.375,0.0,0.5820190717309053,a
56428,digital,0,1,16,0,6,1,53,82,158,0.10126582278481013,0.0,0.0379746835443038,0.006329113924050633,0.33544303797468356,0.5189873417721519,0.40152620529377775,a
56522,yacht,1,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
56544,abhi,2,1,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6080951354070865,a
56580,soundcloud,2,1,4,0,0,0,3,1,8,0.5,0.0,0.0,0.0,0.375,0.125,0.6493131882580123,a
56589,makro,0,1,3,0,0,0,3,1,7,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.537703286331163,a
56670,paloma,0,1,3,0,0,1,4,2,10,0.3,0.0,0.0,0.1,0.4,0.2,0.526664202487944,a
56827,57 pm,0,2,0,0,0,2,1,2,5,0.0,0.0,0.0,0.4,0.2,0.4,0.6465956704183562,a
56830,kekuatan,0,1,5,0,0,13,18,2,38,0.13157894736842105,0.0,0.0,0.34210526315789475,0.47368421052631576,0.05263157894736842,0.4224477936624521,a
56858,melo,0,1,10,0,5,0,7,11,33,0.30303030303030304,0.0,0.15151515151515152,0.0,0.21212121212121213,0.3333333333333333,0.6457442366047671,a
56899,engadget,1,1,1,0,4,0,0,2,7,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.5971700819985253,a
56918,google,0,1,113,0,45,5,94,132,389,0.29048843187660667,0.0,0.11568123393316196,0.012853470437017995,0.2416452442159383,0.3393316195372751,0.624034906543037,a
56948,noir,0,1,2,0,0,0,3,8,13,0.15384615384615385,0.0,0.0,0.0,0.23076923076923078,0.6153846153846154,0.5755742482821651,a
57024,breezy,3,1,3,0,0,0,3,0,6,0.5,0.0,0.0,0.0,0.5,0.0,0.49649397740925777,a
57069,kenya,2,1,2,0,0,0,3,6,11,0.18181818181818182,0.0,0.0,0.0,0.2727272727272727,0.5454545454545454,0.5485346037993963,a
57089,mengurangi,2,1,3,0,1,0,2,0,6,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.633365758264605,a
57145,brittany,0,1,7,0,2,0,7,6,22,0.3181818181818182,0.0,0.09090909090909091,0.0,0.3181818181818182,0.2727272727272727,0.5584181284760026,a
57240,castillo,0,1,7,0,1,0,6,0,14,0.5,0.0,0.07142857142857142,0.0,0.42857142857142855,0.0,0.5576548531900944,a
57249,adivinha,1,1,2,0,1,2,4,3,12,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.5098733661934707,a
57264,desember,2,1,5,0,0,0,5,0,10,0.5,0.0,0.0,0.0,0.5,0.0,0.49649397740925777,a
57265,2pac,2,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
57346,house bunny,0,2,3,3,0,0,3,5,14,0.21428571428571427,0.21428571428571427,0.0,0.0,0.21428571428571427,0.35714285714285715,0.521778912739038,a
57482,gulliver,3,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
57668,bjoss,2,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
57675,episode 12,0,2,1,0,0,0,1,4,6,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6430974269246501,a
57676,todos chora,0,2,0,0,0,5,4,3,12,0.0,0.0,0.0,0.4166666666666667,0.3333333333333333,0.25,0.5081611620264164,a
57702,common ground,0,2,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5690848983030309,a
57704,telaga,1,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
57711,jets,0,1,8,0,2,2,10,4,26,0.3076923076923077,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.5084632030872304,a
57718,state tv,0,2,10,20,0,1,2,1,34,0.29411764705882354,0.5882352941176471,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.5313498311050134,a
57734,unc,1,1,1,0,0,3,3,2,9,0.1111111111111111,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5817239901126029,a
57782,cumming,2,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
57791,provo,1,1,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6080951354070865,a
57899,angelina sondakh,0,2,13,1,0,0,14,5,33,0.3939393939393939,0.030303030303030304,0.0,0.0,0.42424242424242425,0.15151515151515152,0.5196416363500955,a
57930,steady,0,1,17,0,2,0,23,6,48,0.3541666666666667,0.0,0.041666666666666664,0.0,0.4791666666666667,0.125,0.40124756146900464,a
58004,day 12,0,2,2,0,0,0,3,3,8,0.25,0.0,0.0,0.0,0.375,0.375,0.48305242991491293,a
58009,film festival,0,2,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.4660341011811632,a
58024,slash,0,1,5,0,1,0,7,9,22,0.22727272727272727,0.0,0.045454545454545456,0.0,0.3181818181818182,0.4090909090909091,0.5100446847068449,a
58205,icarly,2,1,2,5,0,0,1,1,9,0.2222222222222222,0.5555555555555556,0.0,0.0,0.1111111111111111,0.1111111111111111,0.4662039181879356,a
58318,gnite,0,1,2,0,3,0,3,8,16,0.125,0.0,0.1875,0.0,0.1875,0.5,0.5327880769835598,a
58334,penat,0,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
58359,yani,3,1,2,0,0,0,4,5,11,0.18181818181818182,0.0,0.0,0.0,0.36363636363636365,0.45454545454545453,0.4384999150640577,a
58454,steamboat,1,1,2,0,0,0,2,5,9,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.6326236085263665,a
58486,simplified,2,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
58493,anggota komisi,0,2,2,3,0,0,0,0,5,0.4,0.6,0.0,0.0,0.0,0.0,0.6490223516938137,a
58515,ic,5,1,0,0,0,3,3,5,11,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.548951513003972,a
58535,maav,2,1,3,0,4,0,3,0,10,0.3,0.0,0.4,0.0,0.3,0.0,0.431743601460526,a
58555,holland,0,1,6,0,0,1,6,2,15,0.4,0.0,0.0,0.06666666666666667,0.4,0.13333333333333333,0.5820834886044988,a
58579,morris,1,1,2,0,1,0,2,6,11,0.18181818181818182,0.0,0.09090909090909091,0.0,0.18181818181818182,0.5454545454545454,0.6166368044171995,a
58689,happy hour,0,2,7,5,0,0,8,4,24,0.2916666666666667,0.20833333333333334,0.0,0.0,0.3333333333333333,0.16666666666666666,0.4472688674010398,a
58779,caller,3,1,1,0,0,0,2,10,13,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.7692307692307693,0.6013653498163553,a
58783,nsn,0,1,0,0,0,5,3,2,10,0.0,0.0,0.0,0.5,0.3,0.2,0.6182693678215119,a
58841,cane,3,1,2,0,0,0,3,2,7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4335597797090798,a
58913,gast,0,1,4,0,0,0,6,3,13,0.3076923076923077,0.0,0.0,0.0,0.46153846153846156,0.23076923076923078,0.4077654538180481,a
59000,forex,0,1,5,0,1,0,14,52,72,0.06944444444444445,0.0,0.013888888888888888,0.0,0.19444444444444445,0.7222222222222222,0.5489474031585022,a
59009,gahol,5,1,1,0,0,2,2,0,5,0.2,0.0,0.0,0.4,0.4,0.0,0.5873121284684509,a
59067,trackpad,0,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
59072,sprinkles,3,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
59113,biarkanlah,0,1,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6080951354070865,a
59118,crest,0,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
59204,bagulho,2,1,0,0,0,2,3,4,9,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.45119370926468266,a
59232,ub,0,1,1,0,0,5,4,2,12,0.08333333333333333,0.0,0.0,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.5989353326273046,a
59242,photo of christians,1,3,3,3,0,0,2,1,9,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2222222222222222,0.1111111111111111,0.4394437721128092,a
59261,masya allah,4,2,3,1,0,0,2,0,6,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6278541858698106,a
59263,la belleza,0,2,2,1,0,0,2,1,6,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5044307848235033,a
59278,c4,2,1,0,0,0,4,4,3,11,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.48173415198857467,a
59364,h8,1,1,0,0,0,2,2,1,5,0.0,0.0,0.0,0.4,0.4,0.2,0.4530293267240119,a
59370,butler,0,1,5,0,0,0,6,2,13,0.38461538461538464,0.0,0.0,0.0,0.46153846153846156,0.15384615384615385,0.4636446292890143,a
59431,hannah,1,1,7,0,2,0,6,5,20,0.35,0.0,0.1,0.0,0.3,0.25,0.5990184391619066,a
59449,karen,0,1,4,0,2,1,4,8,19,0.21052631578947367,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.42105263157894735,0.6247373959575581,a
59477,iphone 5,1,2,2,3,0,1,2,0,8,0.25,0.375,0.0,0.125,0.25,0.0,0.45725908138225435,a
59480,smsm,1,1,2,0,3,0,2,1,8,0.25,0.0,0.375,0.0,0.25,0.125,0.4691355861027886,a
59501,narnia,0,1,5,0,1,0,7,3,16,0.3125,0.0,0.0625,0.0,0.4375,0.1875,0.41524329451199743,a
59529,aseekk,0,1,2,0,2,1,3,2,10,0.2,0.0,0.2,0.1,0.3,0.2,0.49395649417934867,a
59557,fy,1,1,2,0,2,0,3,2,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.4118561996164902,a
59586,trust god,0,2,2,3,0,0,0,0,5,0.4,0.6,0.0,0.0,0.0,0.0,0.6490223516938137,a
59645,hooh,0,1,6,0,8,0,4,4,22,0.2727272727272727,0.0,0.36363636363636365,0.0,0.18181818181818182,0.18181818181818182,0.5745246868812598,a
59676,ingatlah,0,1,2,0,0,1,3,1,7,0.2857142857142857,0.0,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.4992125844087728,a
59689,1br,2,1,0,0,0,0,1,4,5,0.0,0.0,0.0,0.0,0.2,0.8,0.4964721598788954,a
59738,terrier,4,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
59749,tc,0,1,2,0,0,13,16,13,44,0.045454545454545456,0.0,0.0,0.29545454545454547,0.36363636363636365,0.29545454545454547,0.4813786470312721,a
59827,biggs,0,1,1,0,1,0,1,2,5,0.2,0.0,0.2,0.0,0.2,0.4,0.5688460583186827,a
59861,npe,0,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
59874,people of egypt,0,3,1,2,0,3,0,0,6,0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.0,0.623472036731926,a
59953,open source,0,2,3,0,0,0,4,1,8,0.375,0.0,0.0,0.0,0.5,0.125,0.42990633426378305,a
60043,hello,0,1,84,1,94,5,213,282,679,0.12371134020618557,0.0014727540500736377,0.13843888070692195,0.007363770250368188,0.3136966126656848,0.41531664212076586,0.40244607811626104,a
60073,win 1,1,2,2,0,0,6,7,0,15,0.13333333333333333,0.0,0.0,0.4,0.4666666666666667,0.0,0.43928509109465985,a
60130,disney world,0,2,5,0,0,0,4,2,11,0.45454545454545453,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.647764173341918,a
60241,caca,3,1,3,0,0,0,4,4,11,0.2727272727272727,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.5060616012016614,a
60259,bad credit,3,2,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6114621547545335,a
60290,bolu,1,1,2,0,1,0,2,0,5,0.4,0.0,0.2,0.0,0.4,0.0,0.4669900428994846,a
60327,rookie of the year,0,4,12,1,0,0,3,2,18,0.6666666666666666,0.05555555555555555,0.0,0.0,0.16666666666666666,0.1111111111111111,0.5950538516494476,a
60353,bollywood,0,1,6,0,2,0,5,2,15,0.4,0.0,0.13333333333333333,0.0,0.3333333333333333,0.13333333333333333,0.5806035859341899,a
60406,el arsenal,1,2,3,8,0,0,1,2,14,0.21428571428571427,0.5714285714285714,0.0,0.0,0.07142857142857142,0.14285714285714285,0.45929740659986135,a
60427,glee cast,2,2,1,1,0,0,1,3,6,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.5637180145926336,a
60484,sprint,0,1,9,0,1,0,11,12,33,0.2727272727272727,0.0,0.030303030303030304,0.0,0.3333333333333333,0.36363636363636365,0.5312788815795925,a
60546,amber,0,1,11,0,2,0,11,9,33,0.3333333333333333,0.0,0.06060606060606061,0.0,0.3333333333333333,0.2727272727272727,0.5631681328188562,a
60562,pandas,2,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
60685,jew,2,1,3,0,0,0,3,2,8,0.375,0.0,0.0,0.0,0.375,0.25,0.5663208153487131,a
60696,suju,0,1,9,1,0,15,29,13,67,0.13432835820895522,0.014925373134328358,0.0,0.22388059701492538,0.43283582089552236,0.19402985074626866,0.4147876425283501,a
60709,feria,1,1,2,0,0,1,4,2,9,0.2222222222222222,0.0,0.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.41844727304767104,a
60715,mario,0,1,11,0,3,1,19,22,56,0.19642857142857142,0.0,0.05357142857142857,0.017857142857142856,0.3392857142857143,0.39285714285714285,0.46603582023678125,a
60739,paulista,2,1,4,0,2,0,4,2,12,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5186086736548681,a
60784,amn,2,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
60841,tour 2011,1,2,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5690848983030309,a
60851,mentos,0,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
60863,pra voc lembrar,0,3,1,0,0,3,1,3,8,0.125,0.0,0.0,0.375,0.125,0.375,0.6380691824788063,a
60932,magnums,0,1,1,0,0,0,3,5,9,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.42351894425653525,a
60951,transmission,0,1,0,0,0,1,1,3,5,0.0,0.0,0.0,0.2,0.2,0.6,0.5955806358546517,a
60970,jello,3,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
60981,mariana,0,1,9,0,2,0,10,8,29,0.3103448275862069,0.0,0.06896551724137931,0.0,0.3448275862068966,0.27586206896551724,0.5288866181870976,a
60987,yuhuu,4,1,2,0,1,0,2,2,7,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.553002324719927,a
61091,mhy,0,1,3,0,1,0,3,0,7,0.42857142857142855,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.47609607497724865,a
61105,tiris,0,1,2,0,1,0,3,2,8,0.25,0.0,0.125,0.0,0.375,0.25,0.421949650794205,a
61184,nations,0,1,5,0,0,0,7,6,18,0.2777777777777778,0.0,0.0,0.0,0.3888888888888889,0.3333333333333333,0.47807150117328445,a
61369,gugu,1,1,5,0,1,0,4,1,11,0.45454545454545453,0.0,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.5986438272553336,a
61376,current conditions,0,2,2,3,0,0,1,8,14,0.14285714285714285,0.21428571428571427,0.0,0.0,0.07142857142857142,0.5714285714285714,0.6182776150619642,a
61380,dominos,2,1,2,0,0,0,2,4,8,0.25,0.0,0.0,0.0,0.25,0.5,0.6224461049458493,a
61408,rm,0,1,0,0,0,13,18,15,46,0.0,0.0,0.0,0.2826086956521739,0.391304347826087,0.32608695652173914,0.40856140727625795,a
61413,typen,0,1,3,0,0,0,4,3,10,0.3,0.0,0.0,0.0,0.4,0.3,0.48045400377192565,a
61456,calonnya,1,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
61508,bahagianya,0,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
61611,sxsw,0,1,0,0,0,4,3,0,7,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.4942095245601161,a
61614,olly,0,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
61745,necessity,3,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
61758,huck,0,1,3,0,0,0,4,2,9,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.44820362705130307,a
61759,kacian,1,1,3,0,0,0,4,1,8,0.375,0.0,0.0,0.0,0.5,0.125,0.4072796876150271,a
61845,brit,0,1,13,1,0,0,14,9,37,0.35135135135135137,0.02702702702702703,0.0,0.0,0.3783783783783784,0.24324324324324326,0.5317922238218487,a
61887,enjoy the silence,0,3,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.5295304285096949,a
61889,partly,2,1,2,0,2,0,2,6,12,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.5,0.5950847654209117,a
61961,missy,0,1,4,0,1,0,7,6,18,0.2222222222222222,0.0,0.05555555555555555,0.0,0.3888888888888889,0.3333333333333333,0.41366876884711923,a
61975,best tv,2,2,1,1,0,0,1,2,5,0.2,0.2,0.0,0.0,0.2,0.4,0.5348331575037031,a
62069,100m,2,1,0,0,0,1,1,3,5,0.0,0.0,0.0,0.2,0.2,0.6,0.5955806358546517,a
62083,tango,0,1,7,0,3,1,12,13,36,0.19444444444444445,0.0,0.08333333333333333,0.027777777777777776,0.3333333333333333,0.3611111111111111,0.4642308546275345,a
62109,tori,4,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
62128,shaolin,0,1,8,0,1,1,10,3,23,0.34782608695652173,0.0,0.043478260869565216,0.043478260869565216,0.43478260869565216,0.13043478260869565,0.47230723427500443,a
62200,breaking news,0,2,11,5,0,7,12,26,61,0.18032786885245902,0.08196721311475409,0.0,0.11475409836065574,0.19672131147540983,0.4262295081967213,0.6319276535850651,a
62337,holdin,3,1,1,0,2,0,1,2,6,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.5278394870308596,a
62362,inter,0,1,17,0,2,2,21,32,74,0.22972972972972974,0.0,0.02702702702702703,0.02702702702702703,0.28378378378378377,0.43243243243243246,0.5732919786017683,a
62400,weight loss,0,2,13,6,0,0,25,41,85,0.15294117647058825,0.07058823529411765,0.0,0.0,0.29411764705882354,0.4823529411764706,0.46233977912912205,a
62440,the next generation,0,3,4,1,0,0,4,1,10,0.4,0.1,0.0,0.0,0.4,0.1,0.4459852964692118,a
62535,ronda,3,1,2,0,1,0,2,0,5,0.4,0.0,0.2,0.0,0.4,0.0,0.4669900428994846,a
62551,dragonfly,1,1,3,0,0,0,4,3,10,0.3,0.0,0.0,0.0,0.4,0.3,0.48045400377192565,a
62585,san luis,3,2,2,0,0,0,3,2,7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4472309845087577,a
62674,pablo,0,1,7,0,0,0,7,13,27,0.25925925925925924,0.0,0.0,0.0,0.25925925925925924,0.48148148148148145,0.6188611804033168,a
62703,drogba,0,1,4,0,0,0,4,2,10,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
62787,patria,2,1,2,0,0,0,3,2,7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4335597797090798,a
62896,weasley,2,1,2,0,0,0,2,2,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
62919,digg,0,1,5,0,0,2,6,6,19,0.2631578947368421,0.0,0.0,0.10526315789473684,0.3157894736842105,0.3157894736842105,0.6053739530630012,a
62949,krs,0,1,1,0,0,10,10,3,24,0.041666666666666664,0.0,0.0,0.4166666666666667,0.4166666666666667,0.125,0.46808050650552985,a
62960,coisa feia,3,2,0,1,0,1,1,3,6,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5,0.5019701984925776,a
62984,bolivar,0,1,3,0,0,0,3,2,8,0.375,0.0,0.0,0.0,0.375,0.25,0.5663208153487131,a
63020,breast cancer,2,2,2,2,0,0,5,9,18,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2777777777777778,0.5,0.4258731839173763,a
63284,hydroponics,2,1,2,0,1,0,2,0,5,0.4,0.0,0.2,0.0,0.4,0.0,0.4669900428994846,a
63379,subhanallah,1,1,6,0,3,1,7,7,24,0.25,0.0,0.125,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.5463849464656818,a
63386,tiduur,1,1,2,0,2,1,3,0,8,0.25,0.0,0.25,0.125,0.375,0.0,0.42311440898305747,a
63390,mitch,0,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
63412,confira,0,1,9,0,23,0,8,9,49,0.1836734693877551,0.0,0.46938775510204084,0.0,0.16326530612244897,0.1836734693877551,0.48426911623325386,a
63419,club mix,0,2,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.4146098373234487,a
