,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
15876,commission,1,1,1,0,0,0,4,7,12,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5833333333333334,0.40338067811287354,a
15961,caldeir,0,1,8,0,0,0,11,7,26,0.3076923076923077,0.0,0.0,0.0,0.4230769230769231,0.2692307692307692,0.456721097382656,a
15975,del mar,5,2,2,3,0,0,1,0,6,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.49113140515946724,a
16013,simple plan,4,2,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5690848983030309,a
16054,jung,0,1,5,0,0,1,6,7,19,0.2631578947368421,0.0,0.0,0.05263157894736842,0.3157894736842105,0.3684210526315789,0.58183695715682,a
16076,elf,0,1,1,0,0,19,20,24,64,0.015625,0.0,0.0,0.296875,0.3125,0.375,0.5241561711382904,a
16127,developers,1,1,3,0,3,0,8,14,28,0.10714285714285714,0.0,0.10714285714285714,0.0,0.2857142857142857,0.5,0.43455735798956957,a
16142,nextel,1,1,2,0,1,1,4,5,13,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.49244643575988506,a
16182,minecraft,0,1,4,0,1,0,6,7,18,0.2222222222222222,0.0,0.05555555555555555,0.0,0.3333333333333333,0.3888888888888889,0.48332443747301224,a
16204,jls,1,1,0,0,0,12,9,10,31,0.0,0.0,0.0,0.3870967741935484,0.2903225806451613,0.3225806451612903,0.5813389361600387,a
16303,broadcasting,0,1,27,0,12,0,21,4,64,0.421875,0.0,0.1875,0.0,0.328125,0.0625,0.5793878493704319,a
16328,pelanza,1,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
16355,madden,0,1,5,0,0,0,9,8,22,0.22727272727272727,0.0,0.0,0.0,0.4090909090909091,0.36363636363636365,0.41534819072727097,a
16366,lotado,3,1,0,0,0,1,2,3,6,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.42406657647938395,a
16368,chiclete,1,1,6,0,1,0,8,4,19,0.3157894736842105,0.0,0.05263157894736842,0.0,0.42105263157894735,0.21052631578947367,0.4428723322525002,a
16514,confessions,4,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
16566,fx,4,1,0,1,0,2,3,23,29,0.0,0.034482758620689655,0.0,0.06896551724137931,0.10344827586206896,0.7931034482758621,0.6167763514799127,a
16586,unleashed,4,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
16601,tkp,1,1,0,0,0,4,2,0,6,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6441387004967376,a
16639,mdh2an,1,1,3,0,1,0,4,1,9,0.3333333333333333,0.0,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,0.4006927226249058,a
16649,dueces,2,1,1,0,0,1,2,2,6,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5448827109502765,a
16668,aminrt,3,1,1,1,2,0,0,1,5,0.2,0.2,0.4,0.0,0.0,0.2,0.6142786939933921,a
16682,rafa,0,1,14,0,2,0,18,9,43,0.32558139534883723,0.0,0.046511627906976744,0.0,0.4186046511627907,0.20930232558139536,0.4558440584269096,a
16727,pemberian,3,1,0,0,0,4,2,0,6,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6441387004967376,a
16769,srt,0,1,0,2,0,2,1,0,5,0.0,0.4,0.0,0.4,0.2,0.0,0.4715534509091177,a
16836,jim,0,1,8,0,1,0,9,22,40,0.2,0.0,0.025,0.0,0.225,0.55,0.6060857246727434,a
16857,jab,0,1,4,0,0,0,4,4,12,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
16872,deal of the day,1,4,2,1,0,0,0,2,5,0.4,0.2,0.0,0.0,0.0,0.4,0.5039008467110133,a
17043,onew,0,1,7,0,2,1,6,6,22,0.3181818181818182,0.0,0.09090909090909091,0.045454545454545456,0.2727272727272727,0.2727272727272727,0.63141095752509,a
17062,escalator,1,1,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6080951354070865,a
17069,o.o,0,1,67,135,17,61,78,128,486,0.13786008230452676,0.2777777777777778,0.03497942386831276,0.12551440329218108,0.16049382716049382,0.26337448559670784,0.5524031230601836,a
17127,victor,0,1,10,0,3,2,10,17,42,0.23809523809523808,0.0,0.07142857142857142,0.047619047619047616,0.23809523809523808,0.40476190476190477,0.6236186494797786,a
17210,rmx,0,1,2,0,0,2,5,6,15,0.13333333333333333,0.0,0.0,0.13333333333333333,0.3333333333333333,0.4,0.5048614271977708,a
17222,arr,3,1,2,0,2,2,4,2,12,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.473005200929971,a
17237,nobar,2,1,3,0,0,0,4,2,9,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.44820362705130307,a
17328,god bless,1,2,15,45,0,1,15,26,102,0.14705882352941177,0.4411764705882353,0.0,0.00980392156862745,0.14705882352941177,0.2549019607843137,0.41225478722809344,a
17362,tiger woods,2,2,3,0,0,0,3,2,8,0.375,0.0,0.0,0.0,0.375,0.25,0.5792752083044758,a
17411,resta,5,1,0,0,1,1,1,2,5,0.0,0.0,0.2,0.2,0.2,0.4,0.5180171076376487,a
17461,aljazeera,2,1,4,0,1,0,6,3,14,0.2857142857142857,0.0,0.07142857142857142,0.0,0.42857142857142855,0.21428571428571427,0.4033300195660579,a
17574,al presidente,1,2,6,3,0,0,4,1,14,0.42857142857142855,0.21428571428571427,0.0,0.0,0.2857142857142857,0.07142857142857142,0.6044171716564326,a
17664,bom diia,2,2,1,5,0,0,0,3,9,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.3333333333333333,0.4661630462890606,a
17760,patrick,0,1,14,0,5,0,11,11,41,0.34146341463414637,0.0,0.12195121951219512,0.0,0.2682926829268293,0.2682926829268293,0.6210590105902226,a
17778,gucci,0,1,16,0,3,0,21,28,68,0.23529411764705882,0.0,0.04411764705882353,0.0,0.3088235294117647,0.4117647058823529,0.5280074880214141,a
17799,v1.0,0,1,0,0,0,3,4,11,18,0.0,0.0,0.0,0.16666666666666666,0.2222222222222222,0.6111111111111112,0.5553684083806506,a
17818,disney channel,0,2,4,4,0,0,4,5,17,0.23529411764705882,0.23529411764705882,0.0,0.0,0.23529411764705882,0.29411764705882354,0.5019834895327824,a
17863,sevens,1,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
18024,phuket,1,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
18035,upgrading,0,1,2,0,2,0,2,2,8,0.25,0.0,0.25,0.0,0.25,0.25,0.5249225257820895,a
18165,greensboro,1,1,2,0,0,0,2,2,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
18173,eco,0,1,6,0,1,1,13,12,33,0.18181818181818182,0.0,0.030303030303030304,0.030303030303030304,0.3939393939393939,0.36363636363636365,0.40268727242477126,a
18211,hold it against me,0,4,23,0,0,0,12,12,47,0.48936170212765956,0.0,0.0,0.0,0.2553191489361702,0.2553191489361702,0.4892335670020375,a
18339,showcase,1,1,3,0,0,1,4,6,14,0.21428571428571427,0.0,0.0,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.5908072395102475,a
18414,bbt,0,1,0,0,0,4,3,0,7,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.4942095245601161,a
18450,benarkah,3,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
18481,tee amoo,2,2,1,1,0,1,3,5,11,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.46447416701064553,a
18500,homerun,0,1,1,0,0,2,2,2,7,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6364279064928946,a
18724,alhamdullilah,0,1,2,0,2,0,3,4,11,0.18181818181818182,0.0,0.18181818181818182,0.0,0.2727272727272727,0.36363636363636365,0.47503596895464906,a
18867,intendenta,0,1,3,0,0,0,3,0,6,0.5,0.0,0.0,0.0,0.5,0.0,0.49649397740925777,a
18918,holis,1,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
18974,kamfret,1,1,2,0,0,0,2,4,8,0.25,0.0,0.0,0.0,0.25,0.5,0.6224461049458493,a
18993,citos,2,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
18997,bryan,0,1,8,0,0,0,8,2,18,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.5288042168889968,a
19096,lohan,0,1,3,0,1,0,3,2,9,0.3333333333333333,0.0,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,0.5423914935904257,a
19103,stark,1,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
19105,voltas,4,1,1,0,0,1,2,1,5,0.2,0.0,0.0,0.2,0.4,0.2,0.5007045183365324,a
19125,brock,0,1,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6080951354070865,a
19177,african,1,1,6,0,0,1,10,18,35,0.17142857142857143,0.0,0.0,0.02857142857142857,0.2857142857142857,0.5142857142857142,0.5396160572057973,a
