candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
third,2,1,4,0,5,0,60,10,79,0.31776144766951475,0.05063291139240506,0.0,0.06329113924050633,0.0,0.759493670886076,0.12658227848101267,0.04100513920946959,b
jaga,1,1,3,0,6,0,42,5,56,0.1937751691933711,0.05357142857142857,0.0,0.10714285714285714,0.0,0.75,0.08928571428571429,0.041877262511430674,b
ja,0,1,117,1,138,18,1228,618,2120,11.320195985487306,0.05518867924528302,0.0004716981132075472,0.06509433962264151,0.008490566037735849,0.5792452830188679,0.29150943396226414,0.09031074742416374,b
ximo,0,1,0,0,0,2,101,13,116,0.5172176347833111,0.0,0.0,0.0,0.017241379310344827,0.8706896551724138,0.11206896551724138,0.023444843894859298,b
mission,0,1,7,0,4,1,58,17,87,0.3608871097481734,0.08045977011494253,0.0,0.04597701149425287,0.011494252873563218,0.6666666666666666,0.19540229885057472,0.06991632580952765,b
libur,0,1,6,0,11,3,179,42,241,1.1910561047623525,0.024896265560165973,0.0,0.04564315352697095,0.012448132780082987,0.7427385892116183,0.17427385892116182,0.041413153488884094,b
carol,0,1,17,0,4,1,16,11,49,0.15604021487454475,0.3469387755102041,0.0,0.08163265306122448,0.02040816326530612,0.32653061224489793,0.22448979591836735,0.511514243856062,a
you're welcome,2,2,0,20,0,2,15,6,43,0.12369596831555077,0.0,0.46511627906976744,0.0,0.046511627906976744,0.3488372093023256,0.13953488372093023,0.15962826695405957,b
gag,0,1,10,0,22,0,155,28,215,1.050897703006712,0.046511627906976744,0.0,0.10232558139534884,0.0,0.7209302325581395,0.13023255813953488,0.0461579030429895,b
als,0,1,41,0,65,2,460,102,670,3.503669733730423,0.06119402985074627,0.0,0.09701492537313433,0.0029850746268656717,0.6865671641791045,0.15223880597014924,0.05684878929270311,b
siapa,0,1,102,0,71,0,677,108,958,5.056193568562135,0.10647181628392484,0.0,0.07411273486430063,0.0,0.7066805845511482,0.1127348643006263,0.06258204767201715,b
kush,0,1,6,0,8,1,28,10,53,0.1776030459138741,0.11320754716981132,0.0,0.1509433962264151,0.018867924528301886,0.5283018867924528,0.18867924528301888,0.1326181686639887,b
mulheres,0,1,4,0,8,1,57,11,81,0.3285428631891794,0.04938271604938271,0.0,0.09876543209876543,0.012345679012345678,0.7037037037037037,0.13580246913580246,0.05144902702125629,b
king,0,1,16,0,13,5,58,51,143,0.662766744298784,0.11188811188811189,0.0,0.09090909090909091,0.03496503496503497,0.40559440559440557,0.35664335664335667,0.225147635915311,b
kind,0,1,11,0,10,1,346,49,417,2.139820670492843,0.026378896882494004,0.0,0.023980815347721823,0.002398081534772182,0.829736211031175,0.11750599520383694,0.029045181610721754,b
staff,1,1,2,0,0,1,41,14,58,0.20455658471303578,0.034482758620689655,0.0,0.0,0.017241379310344827,0.7068965517241379,0.2413793103448276,0.05207689537354314,b
bjs,1,1,7,0,4,0,74,98,183,0.8783950546920772,0.03825136612021858,0.0,0.02185792349726776,0.0,0.40437158469945356,0.5355191256830601,0.17546030605439975,b
time low,0,2,116,0,0,1,8,5,130,0.5926875434209636,0.8923076923076924,0.0,0.0,0.007692307692307693,0.06153846153846154,0.038461538461538464,0.9674996225791194,g
bears game,0,2,3,43,0,3,10,7,66,0.24768224679169443,0.045454545454545456,0.6515151515151515,0.0,0.045454545454545456,0.15151515151515152,0.10606060606060606,0.2762698601921966,b
demi lovato,0,2,24,0,0,0,3,16,43,0.12369596831555077,0.5581395348837209,0.0,0.0,0.0,0.06976744186046512,0.37209302325581395,0.9016522286923202,g
personal,0,1,8,0,4,1,160,38,211,1.0293348719673825,0.037914691943127965,0.0,0.018957345971563982,0.004739336492890996,0.7582938388625592,0.18009478672985782,0.040947714994681875,b
porno,1,1,3,0,1,0,45,4,53,0.1776030459138741,0.05660377358490566,0.0,0.018867924528301886,0.0,0.8490566037735849,0.07547169811320754,0.030036129217908176,b
gut,2,1,3,0,1,0,36,6,46,0.13986809159504776,0.06521739130434782,0.0,0.021739130434782608,0.0,0.782608695652174,0.13043478260869565,0.040533202498021614,b
