,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
5646,spicer calls video of passenger,0,5,1,0,0,0,0,1,2,-0.12511278138856438,0.5,0.0,0.0,0.0,0.0,0.5,0.665755594550021,a
5647,chelseaγçös,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5648,siena,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5649,sean spicer spices the news,0,5,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.8006235605853713,g
5650,agent,0,1,2,0,1,0,52,2,57,0.34428024420350994,0.03508771929824561,0.0,0.017543859649122806,0.0,0.9122807017543859,0.03508771929824561,0.0023549690512306514,b
5651,kendell jenner,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5652,keystone cop,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5653,fwiw,0,1,0,0,0,1,1,0,2,-0.12511278138856438,0.0,0.0,0.0,0.5,0.5,0.0,0.1158689654476275,b
5654,russian easter,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5655,russianinvestors,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5656,luxurious travelling,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5657,sean spicer on assad,0,4,13,0,0,0,0,1,14,-0.02269975762302089,0.9285714285714286,0.0,0.0,0.0,0.0,0.07142857142857142,0.8927089230087708,g
5658,lead,0,1,4,0,1,0,57,5,67,0.4296244306747962,0.05970149253731343,0.0,0.014925373134328358,0.0,0.8507462686567164,0.07462686567164178,0.003688307496617355,b
5659,ron burgundy,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5660,doomed,0,1,0,0,2,1,16,1,20,0.028506754259750862,0.0,0.0,0.1,0.05,0.8,0.05,0.004531017922937094,b
5661,become,0,1,2,0,1,0,67,2,72,0.47229652391043936,0.027777777777777776,0.0,0.013888888888888888,0.0,0.9305555555555556,0.027777777777777776,0.0020635810741400852,b
5662,handbags,0,1,1,0,0,0,9,0,10,-0.05683743221153539,0.1,0.0,0.0,0.0,0.9,0.0,0.0034237684860077785,b
5663,game of thrones,0,3,3,0,0,0,0,0,3,-0.11657836274143576,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5664,politico magazine,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5665,cold war,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5666,toby,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5667,sean spicer wrongly says hitler,0,5,1,13,0,0,0,0,14,-0.02269975762302089,0.07142857142857142,0.9285714285714286,0.0,0.0,0.0,0.0,0.45213744732730365,a
5668,insensitive,0,1,0,0,1,1,45,3,50,0.2845393136736096,0.0,0.0,0.02,0.02,0.9,0.06,0.002258366598308312,b
5669,john,0,1,4,0,0,0,0,5,9,-0.06537185085866401,0.4444444444444444,0.0,0.0,0.0,0.0,0.5555555555555556,0.8628084877655738,g
5670,leonard cohen,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5671,general assembly,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5672,oy vei holocaust denial,0,4,0,0,0,1,0,0,1,-0.13364720003569303,0.0,0.0,0.0,1.0,0.0,0.0,0.6280396639229726,a
5673,roman,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5674,stunning,0,1,0,0,1,1,6,1,9,-0.06537185085866401,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.012203107046782298,b
5675,solve the problem,0,3,2,0,0,0,9,0,11,-0.04830301356440676,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,0.0,0.020250936156222556,b
5676,2x,0,1,0,0,0,0,2,0,2,-0.12511278138856438,0.0,0.0,0.0,0.0,1.0,0.0,0.0012719509154501957,b
5677,ask eric trump,0,3,1,1,0,0,0,0,2,-0.12511278138856438,0.5,0.5,0.0,0.0,0.0,0.0,0.7404565693332515,a
5678,donald trump in a sean spicer,0,6,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.6853417221082837,a
5679,assadγçös,0,1,4,0,0,0,0,3,7,-0.08244068815292127,0.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,0.9264957570402591,g
5680,dc,0,1,1,0,0,25,0,3,29,0.10531652208390849,0.034482758620689655,0.0,0.0,0.8620689655172413,0.0,0.10344827586206896,0.9280429596940537,g
5681,pepe,0,1,2,0,2,0,0,0,4,-0.10804394409430715,0.5,0.0,0.5,0.0,0.0,0.0,0.9317587859250874,g
5682,mum'sbasementplanet,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5683,methinks eric trump,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5684,bloody sad day,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5685,10x,0,1,0,0,0,0,1,0,1,-0.13364720003569303,0.0,0.0,0.0,0.0,1.0,0.0,0.0012719509154501957,b
5686,north koreaγçös six trillion dollar question,0,6,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.6853417221082837,a
5687,chinese premiere,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5688,ivankahelpedpush4syriamissilestrike,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5689,christian,0,1,9,0,0,0,0,2,11,-0.04830301356440676,0.8181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.9786144789503426,g
5690,sadsean spicer,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5691,carter page 90,0,3,0,1,0,0,0,0,1,-0.13364720003569303,0.0,1.0,0.0,0.0,0.0,0.0,0.21662550080985302,b
5692,c'mon,0,1,1,0,10,0,7,5,23,0.05411001020113674,0.043478260869565216,0.0,0.43478260869565216,0.0,0.30434782608695654,0.21739130434782608,0.1302893723751206,b
5693,5 draft deferments,0,3,0,2,0,0,0,0,2,-0.12511278138856438,0.0,1.0,0.0,0.0,0.0,0.0,0.21662550080985302,b
5694,dem rep,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5695,rot,0,1,1,0,0,0,6,0,7,-0.08244068815292127,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.005370526030714543,b
5696,africa,0,1,9,0,0,0,0,2,11,-0.04830301356440676,0.8181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.9786144789503426,g
5697,referendum,0,1,1,0,0,0,1,0,2,-0.12511278138856438,0.5,0.0,0.0,0.0,0.5,0.0,0.25401199213344544,b
5698,chris jericho,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5699,god bless,0,2,3,6,0,0,0,3,12,-0.03976859491727814,0.25,0.5,0.0,0.0,0.0,0.25,0.5569439057226,a
5700,braddjaffy,0,1,2,0,0,0,0,1,3,-0.11657836274143576,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.9545996348234705,g
5701,annabeth,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5702,four clarifications,0,2,1,0,0,0,1,0,2,-0.12511278138856438,0.5,0.0,0.0,0.0,0.5,0.0,0.20937802218311852,b
5703,ww 1,0,2,0,0,0,1,0,0,1,-0.13364720003569303,0.0,0.0,0.0,1.0,0.0,0.0,0.88511578387157,g
5704,assure citizens us,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5705,true,0,1,6,0,13,3,222,19,263,2.1023704855120067,0.022813688212927757,0.0,0.049429657794676805,0.011406844106463879,0.844106463878327,0.07224334600760456,0.003382684592605577,b
5706,rosa parks museum,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5707,nuke japan,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5708,monitor trump adviser page,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5709,2017 sean spicer,0,3,0,4,0,0,0,1,5,-0.09950952544717852,0.0,0.8,0.0,0.0,0.0,0.2,0.22914248840632018,b
5710,concentration camps,0,2,7,8,0,2,117,11,145,1.095309085150829,0.04827586206896552,0.05517241379310345,0.0,0.013793103448275862,0.8068965517241379,0.07586206896551724,0.0038498363978549874,b
5711,passenger,0,1,1,0,0,0,27,3,31,0.12238535937816575,0.03225806451612903,0.0,0.0,0.0,0.8709677419354839,0.0967741935483871,0.002864572161721487,b
5712,absolute,0,1,2,0,6,0,42,4,54,0.3186769882621241,0.037037037037037035,0.0,0.1111111111111111,0.0,0.7777777777777778,0.07407407407407407,0.00533294027349192,b
5713,used chemical weapons seriously donald,0,5,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.8006235605853713,g
5714,replacing sean spicer with kellyanne conway,0,6,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.6853417221082837,a
5715,family guy,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5716,bar mitzvah,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5717,sarah balk mcgrill,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5718,animated friends,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5719,eric trump proves,0,3,1,3,0,0,0,0,4,-0.10804394409430715,0.25,0.75,0.0,0.0,0.0,0.0,0.4555411805149806,a
5720,tahoe,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5721,ties 2 putin,0,3,0,0,0,1,0,0,1,-0.13364720003569303,0.0,0.0,0.0,1.0,0.0,0.0,0.7508460847608521,g
5722,pr disaster,0,2,0,32,0,0,0,0,32,0.13091977802529436,0.0,1.0,0.0,0.0,0.0,0.0,0.22414686698628813,b
5723,international holocaust remembrance day,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5724,isis rips fetus,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5725,government accountability office,0,3,3,0,0,0,0,0,3,-0.11657836274143576,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5726,art video,0,2,0,0,0,2,0,0,2,-0.12511278138856438,0.0,0.0,0.0,1.0,0.0,0.0,0.88511578387157,g
5727,sikh.us,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5728,tax returns,0,2,1,1,0,1,23,0,26,0.07971326614252261,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.8846153846153846,0.0,0.0026275740670555934,b
5729,houdini,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5730,make america great again,0,4,3,4,0,1,0,0,8,-0.07390626950579264,0.375,0.5,0.0,0.125,0.0,0.0,0.6200414397101803,a
5731,evil rebels of 1773,0,4,0,1,0,0,0,0,1,-0.13364720003569303,0.0,1.0,0.0,0.0,0.0,0.0,0.30087502347803774,b
5732,fisa warren,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5733,iswallowya,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5734,intent of syria,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5735,cbsn,0,1,0,0,0,1,0,0,1,-0.13364720003569303,0.0,0.0,0.0,1.0,0.0,0.0,0.9432377892256483,g
5736,parkerlawyer 75,0,2,0,1,0,0,0,0,1,-0.13364720003569303,0.0,1.0,0.0,0.0,0.0,0.0,0.22414686698628813,b
5737,leninist,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5738,eric trump defends father,0,4,2,0,0,0,0,0,2,-0.12511278138856438,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5739,didnγçöt use,0,2,1,4,0,0,0,0,5,-0.09950952544717852,0.2,0.8,0.0,0.0,0.0,0.0,0.45292629812736135,a
5740,billionaire,0,1,1,0,0,0,9,0,10,-0.05683743221153539,0.1,0.0,0.0,0.0,0.9,0.0,0.0034237684860077785,b
5741,peak civ,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5742,soon,0,1,1,0,2,1,108,3,115,0.8392765257369702,0.008695652173913044,0.0,0.017391304347826087,0.008695652173913044,0.9391304347826087,0.02608695652173913,0.0018552011157280117,b
5743,carter page disagree warrant,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5744,dances,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5745,olivia,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5746,halocaust center,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5747,co2,0,1,0,0,0,1,0,0,1,-0.13364720003569303,0.0,0.0,0.0,1.0,0.0,0.0,0.9432377892256483,g
5748,rick perry,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5749,russia prior,0,2,1,2,0,0,0,0,3,-0.11657836274143576,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.6434977802136324,a
5750,panicked white house,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5751,german,0,1,73,0,3,2,5,11,94,0.6600537341472691,0.776595744680851,0.0,0.031914893617021274,0.02127659574468085,0.05319148936170213,0.11702127659574468,0.9677062902246316,g
5752,joke,0,1,1,0,1,4,134,4,144,1.0867746665037004,0.006944444444444444,0.0,0.006944444444444444,0.027777777777777776,0.9305555555555556,0.027777777777777776,0.002022780302151635,b
5753,mountain dew,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5754,mayγçös trump card,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
5755,vp,0,1,0,0,0,7,0,1,8,-0.07390626950579264,0.0,0.0,0.0,0.875,0.0,0.125,0.9190629688903956,g
5756,trident report,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5757,uncle_jimbo,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5758,bashing sean spicer day,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5759,pornhub,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5760,san bernardino elementary school,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5761,trevor timm,0,2,2,0,0,0,0,0,2,-0.12511278138856438,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
