candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
george,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g,1
holloway,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g,1
gamebred,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g,1
carter page fisa,0,3,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9639374462,g,1
yair,0,1,12,0,4,0,0,2,18,0.8191221147,0.6666666667,0,0.2222222222,0,0,0.1111111111,0.9612601317,g,1
congress,0,1,10,0,1,0,1,1,13,0.4910411344,0.7692307692,0,0.0769230769,0,0.0769230769,0.0769230769,0.9584546383,g,1
george soros,0,2,6,0,0,0,0,2,8,0.1629601542,0.75,0,0,0,0,0.25,0.9558588195,g,1
salvador sobral,0,2,3,0,0,0,0,1,4,-0.0995046301,0.75,0,0,0,0,0.25,0.9558588195,g,1
slow hands,0,2,6,0,0,0,0,2,8,0.1629601542,0.75,0,0,0,0,0.25,0.9558588195,g,1
rodriguez,0,1,3,0,2,0,0,0,5,-0.033888434,0.6,0,0.4,0,0,0,0.9537524838,g,1
brexit,0,1,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9527850789,g,1
muslim,0,1,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9527850789,g,1
africa,0,1,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9527850789,g,1
america,0,1,17,0,4,0,1,4,26,1.3440516832,0.6538461538,0,0.1538461538,0,0.0384615385,0.1538461538,0.9472086357,g,1
ireland,0,1,3,0,1,0,0,1,5,-0.033888434,0.6,0,0.2,0,0,0.2,0.9469829521,g,1
ukrainian,0,1,3,0,1,0,0,1,5,-0.033888434,0.6,0,0.2,0,0,0.2,0.9469829521,g,1
moldova,0,1,3,0,1,0,0,1,5,-0.033888434,0.6,0,0.2,0,0,0.2,0.9469829521,g,1
aca,0,1,0,0,0,4,0,0,4,-0.0995046301,0,0,0,1,0,0,0.9424807849,g,1
hq,0,1,0,0,0,3,0,0,3,-0.1651208261,0,0,0,1,0,0,0.9424807849,g,1
ahca,0,1,0,0,0,5,0,0,5,-0.033888434,0,0,0,1,0,0,0.9424807849,g,1
dt,0,1,0,0,0,3,0,0,3,-0.1651208261,0,0,0,1,0,0,0.9424807849,g,1
cbo,0,1,0,0,0,6,0,0,6,0.031727762,0,0,0,1,0,0,0.9424807849,g,1
poc,0,1,0,0,0,4,0,0,4,-0.0995046301,0,0,0,1,0,0,0.9424807849,g,1
djt,0,1,0,0,0,3,0,0,3,-0.1651208261,0,0,0,1,0,0,0.9424807849,g,1
mlk,0,1,0,0,0,6,0,0,6,0.031727762,0,0,0,1,0,0,0.9424807849,g,1
tko,0,1,0,0,0,5,0,0,5,-0.033888434,0,0,0,1,0,0,0.9424807849,g,1
dnc,0,1,0,0,0,3,0,0,3,-0.1651208261,0,0,0,1,0,0,0.9424807849,g,1
mma,0,1,0,0,0,5,0,0,5,-0.033888434,0,0,0,1,0,0,0.9424807849,g,1
portugal,0,1,19,0,9,0,0,6,34,1.8689812516,0.5588235294,0,0.2647058824,0,0,0.1764705882,0.9393884718,g,1
frankie,0,1,11,0,6,0,0,3,20,0.9503545068,0.55,0,0.3,0,0,0.15,0.9385627629,g,1
senate,0,1,15,0,0,0,3,1,19,0.8847383108,0.7894736842,0,0,0,0.1578947368,0.0526315789,0.9379609909,g,1
fisa,0,1,1,0,0,11,0,1,13,0.4910411344,0.0769230769,0,0,0.8461538462,0,0.0769230769,0.9377091371,g,1
demian,0,1,3,0,0,0,0,2,5,-0.033888434,0.6,0,0,0,0,0.4,0.9363607716,g,1
african americans,0,2,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9363520626,g,1
liberty university,0,2,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9363520626,g,1
holocaust centers,0,2,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9363520626,g,1
white house,0,2,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9363520626,g,1
fox news,0,2,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9363520626,g,1
chris hayes,0,2,2,0,0,0,0,1,3,-0.1651208261,0.6666666667,0,0,0,0,0.3333333333,0.9363520626,g,1
on the loose,0,3,9,0,0,0,0,2,11,0.3598087423,0.8181818182,0,0,0,0,0.1818181818,0.935588618,g,1
fbi,0,1,5,0,0,125,1,7,138,8.6930656415,0.0362318841,0,0,0.9057971014,0.0072463768,0.0507246377,0.9347731598,g,1
germany,0,1,2,0,2,0,0,0,4,-0.0995046301,0.5,0,0.5,0,0,0,0.9322985221,g,1
alessia,0,1,2,0,2,0,0,0,4,-0.0995046301,0.5,0,0.5,0,0,0,0.9322985221,g,1
obamacare,0,1,20,0,2,0,3,4,29,1.5409002713,0.6896551724,0,0.0689655172,0,0.1034482759,0.1379310345,0.9322835619,g,1
scarface,0,1,12,0,1,0,2,2,17,0.7535059187,0.7058823529,0,0.0588235294,0,0.1176470588,0.1176470588,0.9314955074,g,1
obama,0,1,15,0,3,0,1,6,25,1.2784354871,0.6,0,0.12,0,0.04,0.24,0.9305020993,g,1
edgar,0,1,8,0,5,0,0,3,16,0.6878897226,0.5,0,0.3125,0,0,0.1875,0.9239238373,g,1
prince,0,1,5,0,0,1,1,1,8,0.1629601542,0.625,0,0,0.125,0.125,0.125,0.923259763,g,1
comey,0,1,6,0,3,0,0,3,12,0.4254249384,0.5,0,0.25,0,0,0.25,0.9202690952,g,1
romania,0,1,2,0,1,0,0,1,4,-0.0995046301,0.5,0,0.25,0,0,0.25,0.9202690952,g,1
salvador,0,1,4,0,2,0,0,2,8,0.1629601542,0.5,0,0.25,0,0,0.25,0.9202690952,g,1
croatia,0,1,2,0,1,0,0,1,4,-0.0995046301,0.5,0,0.25,0,0,0.25,0.9202690952,g,1
masvidal,0,1,39,0,31,0,3,2,75,4.55924529,0.52,0,0.4133333333,0,0.04,0.0266666667,0.9199694655,g,1
linkin park,0,2,20,2,0,0,2,5,29,1.5409002713,0.6896551724,0.0689655172,0,0,0.0689655172,0.1724137931,0.9187444057,g,1
gop,0,1,1,0,0,24,0,5,30,1.6065164674,0.0333333333,0,0,0.8,0,0.1666666667,0.9161473505,g,1
wango tango,0,2,3,0,0,0,0,2,5,-0.033888434,0.6,0,0,0,0,0.4,0.9146740169,g,1
carter,0,1,3,0,1,0,0,2,6,0.031727762,0.5,0,0.1666666667,0,0,0.3333333333,0.9146713471,g,1
msm,0,1,0,0,0,5,0,1,6,0.031727762,0,0,0,0.8333333333,0,0.1666666667,0.9121983335,g,1
usa,0,1,0,0,0,5,0,1,6,0.031727762,0,0,0,0.8333333333,0,0.1666666667,0.9121983335,g,1
news of fisa warrant,0,4,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9116907289,g,1
ufc,0,1,0,0,0,13,1,0,14,0.5566573305,0,0,0,0.9285714286,0.0714285714,0,0.9038611281,g,1
sean spicer,0,2,8,0,0,0,0,6,14,0.5566573305,0.5714285714,0,0,0,0,0.4285714286,0.9033515273,g,1
boom,0,1,2,0,0,0,0,2,4,-0.0995046301,0.5,0,0,0,0,0.5,0.9008323867,g,1
democrats,0,1,8,0,6,0,1,1,16,0.6878897226,0.5,0,0.375,0,0.0625,0.0625,0.8997654808,g,1
united,0,1,3,0,2,0,0,2,7,0.0973439581,0.4285714286,0,0.2857142857,0,0,0.2857142857,0.8935887208,g,1
ufc 211,0,2,0,0,0,3,0,0,3,-0.1651208261,0,0,0,1,0,0,0.8924649533,g,1
wh,0,1,0,0,0,3,0,1,4,-0.0995046301,0,0,0,0.75,0,0.25,0.8905188328,g,1
eurovision,0,1,5,0,2,0,1,1,9,0.2285763502,0.5555555556,0,0.2222222222,0,0.1111111111,0.1111111111,0.8880449498,g,1
page,0,1,15,0,1,1,4,3,24,1.2128192911,0.625,0,0.0416666667,0.0416666667,0.1666666667,0.125,0.8863302492,g,1
donald,0,1,3,0,0,0,1,0,4,-0.0995046301,0.75,0,0,0,0.25,0,0.8824602012,g,1
stipe,0,1,3,0,0,0,1,0,4,-0.0995046301,0.75,0,0,0,0.25,0,0.8824602012,g,1
snapchat,0,1,9,0,0,0,3,0,12,0.4254249384,0.75,0,0,0,0.25,0,0.8824602012,g,1
spicer,0,1,5,0,4,0,1,0,10,0.2941925463,0.5,0,0.4,0,0.1,0,0.8806631607,g,1
ronaldo,0,1,1,0,2,0,0,0,3,-0.1651208261,0.3333333333,0,0.6666666667,0,0,0,0.8737806702,g,1
britain,0,1,1,0,2,0,0,0,3,-0.1651208261,0.3333333333,0,0.6666666667,0,0,0,0.8737806702,g,1
frankieedgar,0,1,1,0,2,0,0,0,3,-0.1651208261,0.3333333333,0,0.6666666667,0,0,0,0.8737806702,g,1
liam payne,0,2,2,0,0,0,0,2,4,-0.0995046301,0.5,0,0,0,0,0.5,0.8687807279,g,1
ppv,0,1,0,0,0,2,0,1,3,-0.1651208261,0,0,0,0.6666666667,0,0.3333333333,0.8633866237,g,1
hrc,0,1,1,0,0,3,0,3,7,0.0973439581,0.1428571429,0,0,0.4285714286,0,0.4285714286,0.8550713205,g,1
rep,0,1,4,0,0,0,1,2,7,0.0973439581,0.5714285714,0,0,0,0.1428571429,0.2857142857,0.8550169371,g,1
europe,0,1,13,2,1,0,3,6,25,1.2784354871,0.52,0.08,0.04,0,0.12,0.24,0.8436573825,g,1
scared to be lonely,0,4,3,1,0,0,0,0,4,-0.0995046301,0.75,0.25,0,0,0,0,0.8433264465,g,1
niall,0,1,24,0,36,0,0,18,78,4.7560938781,0.3076923077,0,0.4615384615,0,0,0.2307692308,0.8422976058,g,1
hillary clinton,0,2,3,0,0,0,0,4,7,0.0973439581,0.4285714286,0,0,0,0,0.5714285714,0.8241908425,g,1
niam,0,1,3,0,1,0,0,5,9,0.2285763502,0.3333333333,0,0.1111111111,0,0,0.5555555556,0.8181125328,g,1
bjj,0,1,0,0,0,5,1,0,6,0.031727762,0,0,0,0.8333333333,0.1666666667,0,0.811163129,g,1
holocaust,0,1,1,0,0,0,0,2,3,-0.1651208261,0.3333333333,0,0,0,0,0.6666666667,0.8021484485,g,1
greece,0,1,1,0,0,0,0,2,3,-0.1651208261,0.3333333333,0,0,0,0,0.6666666667,0.8021484485,g,1
euros,0,1,1,0,0,0,0,2,3,-0.1651208261,0.3333333333,0,0,0,0,0.6666666667,0.8021484485,g,1
bush,0,1,1,0,0,0,0,2,3,-0.1651208261,0.3333333333,0,0,0,0,0.6666666667,0.8021484485,g,1
bradford,0,1,1,0,0,0,0,2,3,-0.1651208261,0.3333333333,0,0,0,0,0.6666666667,0.8021484485,g,1
hate white people,0,3,2,1,0,0,0,1,4,-0.0995046301,0.5,0.25,0,0,0,0.25,0.7987280257,g,1
miley,0,1,6,0,14,0,1,1,22,1.081586899,0.2727272727,0,0.6363636364,0,0.0454545455,0.0454545455,0.7985072936,g,1
twitter,0,1,6,0,1,0,2,3,12,0.4254249384,0.5,0,0.0833333333,0,0.1666666667,0.25,0.7964646121,g,1
zedd,0,1,3,0,0,0,1,2,6,0.031727762,0.5,0,0,0,0.1666666667,0.3333333333,0.7843676378,g,1
house,0,1,17,0,1,0,7,5,30,1.6065164674,0.5666666667,0,0.0333333333,0,0.2333333333,0.1666666667,0.7796779324,g,1
cnn,0,1,0,0,0,5,1,1,7,0.0973439581,0,0,0,0.7142857143,0.1428571429,0.1428571429,0.77226517,g,1
clinton,0,1,3,0,1,0,1,2,7,0.0973439581,0.4285714286,0,0.1428571429,0,0.1428571429,0.2857142857,0.7685957189,g,1
tease,0,1,2,0,0,0,1,0,3,-0.1651208261,0.6666666667,0,0,0,0.3333333333,0,0.7579865477,g,1
justice,0,1,2,0,0,0,1,0,3,-0.1651208261,0.6666666667,0,0,0,0.3333333333,0,0.7579865477,g,1
don,0,1,2,0,0,0,1,0,3,-0.1651208261,0.6666666667,0,0,0,0.3333333333,0,0.7579865477,g,1
camila cabello,0,2,1,0,0,0,0,2,3,-0.1651208261,0.3333333333,0,0,0,0,0.6666666667,0.7484259735,a,2
robbed,0,1,0,0,1,1,0,1,3,-0.1651208261,0,0,0.3333333333,0.3333333333,0,0.3333333333,0.7461905673,a,2
liam,0,1,10,0,8,0,1,20,39,2.1970622319,0.2564102564,0,0.2051282051,0,0.0256410256,0.5128205128,0.7450877761,a,2
the house republicans,0,3,3,0,0,0,1,1,5,-0.033888434,0.6,0,0,0,0.2,0.2,0.7395228418,a,2
spain,0,1,1,0,3,0,0,2,6,0.031727762,0.1666666667,0,0.5,0,0,0.3333333333,0.7350942093,a,2
god,0,1,11,0,5,1,5,5,27,1.4096678792,0.4074074074,0,0.1851851852,0.037037037,0.1851851852,0.1851851852,0.7294994884,a,2
best eurovision,0,2,1,1,0,0,0,1,3,-0.1651208261,0.3333333333,0.3333333333,0,0,0,0.3333333333,0.727699853,a,2
native americans,0,2,1,1,0,0,0,1,3,-0.1651208261,0.3333333333,0.3333333333,0,0,0,0.3333333333,0.727699853,a,2
republican,0,1,4,0,2,0,2,1,9,0.2285763502,0.4444444444,0,0.2222222222,0,0.2222222222,0.1111111111,0.7075122336,a,2
sc,0,1,0,0,0,1,0,2,3,-0.1651208261,0,0,0,0.3333333333,0,0.6666666667,0.6945402036,a,2
america great,0,2,1,2,0,0,0,0,3,-0.1651208261,0.3333333333,0.6666666667,0,0,0,0,0.6938750013,a,2
champions,0,1,2,0,0,0,1,1,4,-0.0995046301,0.5,0,0,0,0.25,0.25,0.6926266242,a,2
mike dean liberty university stoke,0,5,2,0,0,0,0,3,5,-0.033888434,0.4,0,0,0,0,0.6,0.6870561841,a,2
camila,0,1,3,0,49,0,0,3,55,3.2469213688,0.0545454545,0,0.8909090909,0,0,0.0545454545,0.6866280509,a,2
titanium,0,1,2,1,0,0,1,0,4,-0.0995046301,0.5,0.25,0,0,0.25,0,0.6861820579,a,2
libs,0,1,2,0,1,0,1,2,6,0.031727762,0.3333333333,0,0.1666666667,0,0.1666666667,0.3333333333,0.6487409102,a,2
uk,0,1,0,0,0,9,3,2,14,0.5566573305,0,0,0,0.6428571429,0.2142857143,0.1428571429,0.6453502904,a,2
sean spicer carter page,0,4,1,0,0,0,0,3,4,-0.0995046301,0.25,0,0,0,0,0.75,0.6343756643,a,2
australia,0,1,6,2,2,0,3,6,19,0.8847383108,0.3157894737,0.1052631579,0.1052631579,0,0.1578947368,0.3157894737,0.6287692167,a,2
dad,0,1,3,0,0,0,2,0,5,-0.033888434,0.6,0,0,0,0.4,0,0.6071517321,a,2
hope maia,0,2,1,3,0,0,0,0,4,-0.0995046301,0.25,0.75,0,0,0,0,0.5973847892,a,2
hold,0,1,3,0,2,0,2,2,9,0.2285763502,0.3333333333,0,0.2222222222,0,0.2222222222,0.2222222222,0.5829593677,a,2
senators,0,1,3,0,0,0,2,1,6,0.031727762,0.5,0,0,0,0.3333333333,0.1666666667,0.5812504079,a,2
adam,0,1,1,0,1,1,1,2,6,0.031727762,0.1666666667,0,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.571409211,a,2
fbi granted fisa warrant,0,4,1,3,0,0,0,0,4,-0.0995046301,0.25,0.75,0,0,0,0,0.5555443916,a,2
instagram story,0,2,3,11,0,0,0,0,14,0.5566573305,0.2142857143,0.7857142857,0,0,0,0,0.5529415195,a,2
fbi got fisa warrant,0,4,1,3,0,0,0,1,5,-0.033888434,0.2,0.6,0,0,0,0.2,0.54131979,a,2
holy,0,1,1,0,3,0,1,0,5,-0.033888434,0.2,0,0.6,0,0.2,0,0.531266541,a,2
legal fisa,0,2,0,2,0,1,0,0,3,-0.1651208261,0,0.6666666667,0,0.3333333333,0,0,0.529119496,a,2
israel,0,1,1,0,3,0,1,1,6,0.031727762,0.1666666667,0,0.5,0,0.1666666667,0.1666666667,0.5178828863,a,2
russian agent,0,2,1,4,0,0,0,1,6,0.031727762,0.1666666667,0.6666666667,0,0,0,0.1666666667,0.5119304019,a,2
monitor carter page,0,3,1,3,0,0,0,1,5,-0.033888434,0.2,0.6,0,0,0,0.2,0.5106824176,a,2
republicans,0,1,10,0,5,0,9,3,27,1.4096678792,0.3703703704,0,0.1851851852,0,0.3333333333,0.1111111111,0.4577527162,a,2
learn,0,1,1,0,1,0,1,1,4,-0.0995046301,0.25,0,0.25,0,0.25,0.25,0.4457820549,a,2
turkey,0,1,1,0,1,0,1,0,3,-0.1651208261,0.3333333333,0,0.3333333333,0,0.3333333333,0,0.443095448,a,2
buy,0,1,2,0,2,0,2,0,6,0.031727762,0.3333333333,0,0.3333333333,0,0.3333333333,0,0.443095448,a,2
102.7 kiis fm,0,3,0,6,0,2,0,0,8,0.1629601542,0,0.75,0,0.25,0,0,0.4117819466,a,2
fisa court,0,2,1,10,0,0,0,0,11,0.3598087423,0.0909090909,0.9090909091,0,0,0,0,0.4060971165,a,2
answer,0,1,0,0,2,1,1,0,4,-0.0995046301,0,0,0.5,0.25,0.25,0,0.3854446898,b,3
dem,0,1,1,0,0,0,1,1,3,-0.1651208261,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3807149567,b,3
spicy,0,1,1,0,0,0,1,1,3,-0.1651208261,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3807149567,b,3
hilary,0,1,1,0,0,0,1,1,3,-0.1651208261,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3807149567,b,3
european,0,1,1,0,0,0,1,1,3,-0.1651208261,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3807149567,b,3
millions of americans,0,3,1,0,0,0,1,1,3,-0.1651208261,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3628743153,b,3
fisa warrant,0,2,3,95,0,1,0,4,103,6.3964987795,0.0291262136,0.9223300971,0,0.0097087379,0,0.0388349515,0.3500593033,b,3
intel,0,1,2,0,0,0,2,0,4,-0.0995046301,0.5,0,0,0,0.5,0,0.3467443919,b,3
maroon 5,0,2,0,4,0,0,0,3,7,0.0973439581,0,0.5714285714,0,0,0,0.4285714286,0.3441203314,b,3
happy birthday,0,2,1,0,0,0,1,1,3,-0.1651208261,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3216750583,b,3
the answer,0,2,1,0,0,0,1,1,3,-0.1651208261,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3216750583,b,3
may 13th,0,2,0,6,0,0,0,0,6,0.031727762,0,1,0,0,0,0,0.3121131685,b,3
panic,0,1,0,0,1,1,1,0,3,-0.1651208261,0,0,0.3333333333,0.3333333333,0.3333333333,0,0.3025060046,b,3
joke,0,1,0,0,0,1,1,1,3,-0.1651208261,0,0,0,0.3333333333,0.3333333333,0.3333333333,0.2546317775,b,3
crazy,0,1,3,0,0,1,5,3,12,0.4254249384,0.25,0,0,0.0833333333,0.4166666667,0.25,0.2397324306,b,3
meet,0,1,1,0,2,0,2,0,5,-0.033888434,0.2,0,0.4,0,0.4,0,0.2288496331,b,3
report,0,1,2,0,8,0,7,4,21,1.0159707029,0.0952380952,0,0.380952381,0,0.3333333333,0.1904761905,0.2063383534,b,3
link,0,1,3,0,0,0,4,0,7,0.0973439581,0.4285714286,0,0,0,0.5714285714,0,0.1961177895,b,3
white supremacists,0,2,0,0,0,1,1,1,3,-0.1651208261,0,0,0,0.3333333333,0.3333333333,0.3333333333,0.1896655756,b,3
con,0,1,1,0,1,0,2,0,4,-0.0995046301,0.25,0,0.25,0,0.5,0,0.1562388889,b,3
friendship,0,1,1,0,1,0,2,0,4,-0.0995046301,0.25,0,0.25,0,0.5,0,0.1562388889,b,3
seriously,0,1,1,0,3,0,4,2,10,0.2941925463,0.1,0,0.3,0,0.4,0.2,0.1436580373,b,3
military,0,1,1,0,0,0,2,1,4,-0.0995046301,0.25,0,0,0,0.5,0.25,0.1330811856,b,3
scarface theme,0,2,1,9,0,0,4,0,14,0.5566573305,0.0714285714,0.6428571429,0,0,0.2857142857,0,0.1315173089,b,3
passed a bill,0,3,1,0,0,0,2,0,3,-0.1651208261,0.3333333333,0,0,0,0.6666666667,0,0.1208228961,b,3
