candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
remember malcolm x,0,3,0,44,0,1,0,0,45,-0.0445287208,0,0.9777777778,0,0.0222222222,0,0,0.2484401718,b,3
malcolm x stared,0,3,1,164,0,0,0,0,165,0.1563154398,0.0060606061,0.9939393939,0,0,0,0,0.2450832733,b,3
love malcolm x,0,3,1,200,0,0,0,1,202,0.2182423893,0.004950495,0.9900990099,0,0,0,0.004950495,0.2446433966,b,3
1925 malcolm x,0,3,0,20,0,0,0,1,21,-0.0846975529,0,0.9523809524,0,0,0,0.0476190476,0.2440281228,b,3
1925 in omaha,0,3,0,76,0,0,0,0,76,0.0073560207,0,1,0,0,0,0,0.2410764217,b,3
may 19 1925,0,3,0,63,0,0,0,0,63,-0.0144020967,0,1,0,0,0,0,0.2410764217,b,3
39 in ne,0,3,0,9,0,0,0,0,9,-0.104781969,0,1,0,0,0,0,0.2410764217,b,3
nora ephron 1941,0,3,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2410764217,b,3
pete townshend 1945,0,3,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2410764217,b,3
johns hopkins 1795,0,3,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2410764217,b,3
malcolm x 1925,0,3,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2410764217,b,3
joey ramone 1951,0,3,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2410764217,b,3
grace jones 1948,0,3,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2410764217,b,3
19 may 1925,0,3,0,4,0,0,0,0,4,-0.1131504756,0,1,0,0,0,0,0.2410764217,b,3
boy,0,1,1,0,2,0,2,0,5,-0.1114767743,0.2,0,0.4,0,0.4,0,0.2153855654,b,3
job,0,1,3,0,0,0,4,1,8,-0.1064556703,0.375,0,0,0,0.5,0.125,0.2140259263,b,3
wake,0,1,0,0,0,8,8,2,18,-0.0897186569,0,0,0,0.4444444444,0.4444444444,0.1111111111,0.1916874829,b,3
trends,0,1,2,0,0,0,3,1,6,-0.109803073,0.3333333333,0,0,0,0.5,0.1666666667,0.1802376626,b,3
growing,0,1,0,0,0,3,3,0,6,-0.109803073,0,0,0,0.5,0.5,0,0.1720757982,b,3
beg,0,1,0,0,0,3,3,0,6,-0.109803073,0,0,0,0.5,0.5,0,0.1720757982,b,3
opinion,0,1,0,0,0,2,2,0,4,-0.1131504756,0,0,0,0.5,0.5,0,0.1720757982,b,3
definitely,0,1,1,0,1,0,2,0,4,-0.1131504756,0.25,0,0.25,0,0.5,0,0.14680487,b,3
father,0,1,3,0,1,0,6,2,12,-0.0997608649,0.25,0,0.0833333333,0,0.5,0.1666666667,0.1317352116,b,3
breath,0,1,1,0,0,0,2,1,4,-0.1131504756,0.25,0,0,0,0.5,0.25,0.1261624994,b,3
sir,0,1,1,0,0,0,2,1,4,-0.1131504756,0.25,0,0,0,0.5,0.25,0.1261624994,b,3
facts,0,1,1,0,2,0,6,7,16,-0.0930660596,0.0625,0,0.125,0,0.375,0.4375,0.1174595634,b,3
video,0,1,7,0,0,1,14,3,25,-0.0780027475,0.28,0,0,0.04,0.56,0.12,0.1162022679,b,3
exactly,0,1,1,0,0,1,3,0,5,-0.1114767743,0.2,0,0,0.2,0.6,0,0.1013982592,b,3
slavery,0,1,1,0,0,0,3,2,6,-0.109803073,0.1666666667,0,0,0,0.5,0.3333333333,0.0876919385,b,3
prince,0,1,1,0,0,0,3,2,6,-0.109803073,0.1666666667,0,0,0,0.5,0.3333333333,0.0876919385,b,3
autobiography,0,1,17,0,0,0,35,4,56,-0.0261180061,0.3035714286,0,0,0,0.625,0.0714285714,0.0830276036,b,3
history,0,1,2,0,321,2,293,0,618,0.9145021459,0.003236246,0,0.5194174757,0.003236246,0.4741100324,0,0.0706323341,b,3
democracy,0,1,102,0,2,0,214,0,318,0.4123917445,0.320754717,0,0.0062893082,0,0.6729559748,0,0.070266944,b,3
fine,0,1,0,0,1,2,6,3,12,-0.0997608649,0,0,0.0833333333,0.1666666667,0.5,0.25,0.0682098963,b,3
assassination,0,1,1,0,0,0,4,2,7,-0.1081293716,0.1428571429,0,0,0,0.5714285714,0.2857142857,0.0552562983,b,3
eternal,0,1,0,0,1,1,3,0,5,-0.1114767743,0,0,0.2,0.2,0.6,0,0.0485359266,b,3
learn,0,1,2,0,0,0,25,21,48,-0.0395076168,0.0416666667,0,0,0,0.5208333333,0.4375,0.0472605359,b,3
highly,0,1,0,0,1,2,5,0,8,-0.1064556703,0,0,0.125,0.25,0.625,0,0.046871738,b,3
king,0,1,6,0,3,0,29,11,49,-0.0378339154,0.1224489796,0,0.0612244898,0,0.5918367347,0.2244897959,0.0459235569,b,3
teacher,0,1,2,0,0,0,7,2,11,-0.1014345663,0.1818181818,0,0,0,0.6363636364,0.1818181818,0.0457514805,b,3
real,0,1,1,0,3,1,10,2,17,-0.0913923583,0.0588235294,0,0.1764705882,0.0588235294,0.5882352941,0.1176470588,0.0438296952,b,3
brother,0,1,4,0,0,0,18,7,29,-0.0713079422,0.1379310345,0,0,0,0.6206896552,0.2413793103,0.0406796846,b,3
liberal,0,1,1,0,0,0,4,1,6,-0.109803073,0.1666666667,0,0,0,0.6666666667,0.1666666667,0.0358698133,b,3
rest in power,0,3,30,9,0,0,238,43,320,0.4157391472,0.09375,0.028125,0,0,0.74375,0.134375,0.0352481846,b,3
republicans,0,1,1,0,0,0,3,0,4,-0.1131504756,0.25,0,0,0,0.75,0,0.034107538,b,3
coon,0,1,1,0,0,0,3,0,4,-0.1131504756,0.25,0,0,0,0.75,0,0.034107538,b,3
conservative,0,1,1,0,0,0,3,0,4,-0.1131504756,0.25,0,0,0,0.75,0,0.034107538,b,3
civil rights,0,2,84,20,0,0,276,4,384,0.5228560328,0.21875,0.0520833333,0,0,0.71875,0.0104166667,0.0314704115,b,3
speeches,0,1,5,0,0,0,19,2,26,-0.0763290462,0.1923076923,0,0,0,0.7307692308,0.0769230769,0.0284557581,b,3
feel,0,1,1,0,1,0,5,0,7,-0.1081293716,0.1428571429,0,0.1428571429,0,0.7142857143,0,0.0268930888,b,3
message,0,1,1,0,0,0,5,1,7,-0.1081293716,0.1428571429,0,0,0,0.7142857143,0.1428571429,0.024556198,b,3
power,0,1,1,0,33,3,84,1,122,0.0843462822,0.0081967213,0,0.2704918033,0.0245901639,0.6885245902,0.0081967213,0.0193614739,b,3
biography,0,1,1,0,2,0,10,1,14,-0.0964134623,0.0714285714,0,0.1428571429,0,0.7142857143,0.0714285714,0.0190465801,b,3
bro,0,1,1,0,0,0,6,1,8,-0.1064556703,0.125,0,0,0,0.75,0.125,0.0185595309,b,3
necessary,0,1,0,0,0,0,8,3,11,-0.1014345663,0,0,0,0,0.7272727273,0.2727272727,0.0119847444,b,3
love,0,1,4,0,1,1,66,13,85,0.0224193327,0.0470588235,0,0.0117647059,0.0117647059,0.7764705882,0.1529411765,0.011659074,b,3
spoke,0,1,1,0,0,0,6,0,7,-0.1081293716,0.1428571429,0,0,0,0.8571428571,0,0.0115493688,b,3
human rights activist,0,3,2,3,0,0,1483,0,1488,2.3706223101,0.001344086,0.002016129,0,0,0.9966397849,0,0.0113653157,b,3
great,0,1,0,0,20,1,99,9,129,0.0960621916,0,0,0.1550387597,0.007751938,0.7674418605,0.0697674419,0.0106078876,b,3
one,0,1,2,0,348,0,1264,14,1628,2.6049404974,0.0012285012,0,0.2137592138,0,0.7764127764,0.0085995086,0.0104465718,b,3
wise,0,1,1,0,1,0,12,0,14,-0.0964134623,0.0714285714,0,0.0714285714,0,0.8571428571,0,0.0086132447,b,3
means necessary,0,2,2,1,0,0,38,5,46,-0.0428550194,0.0434782609,0.0217391304,0,0,0.8260869565,0.1086956522,0.0083176001,b,3
92nd,0,1,0,0,0,0,4,1,5,-0.1114767743,0,0,0,0,0.8,0.2,0.0080770992,b,3
125th,0,1,0,0,0,0,4,1,5,-0.1114767743,0,0,0,0,0.8,0.2,0.0080770992,b,3
played,0,1,1,0,0,0,9,0,10,-0.1031082676,0.1,0,0,0,0.9,0,0.0076318032,b,3
us,0,1,0,0,0,46,370,4,420,0.583109281,0,0,0,0.1095238095,0.880952381,0.0095238095,0.0072676428,b,3
proud,0,1,1,0,0,0,14,1,16,-0.0930660596,0.0625,0,0,0,0.875,0.0625,0.0072497471,b,3
pretty,0,1,1,0,0,0,10,0,11,-0.1014345663,0.0909090909,0,0,0,0.9090909091,0,0.0070013345,b,3
good,0,1,1,0,3,0,36,2,42,-0.0495498248,0.0238095238,0,0.0714285714,0,0.8571428571,0.0476190476,0.0069145911,b,3
20th century,0,2,0,1,0,0,5,0,6,-0.109803073,0,0.1666666667,0,0,0.8333333333,0,0.0064986675,b,3
get,0,1,1,0,10,0,82,2,95,0.0391563461,0.0105263158,0,0.1052631579,0,0.8631578947,0.0210526316,0.0064648605,b,3
arc,0,1,1,0,0,0,12,0,13,-0.0980871636,0.0769230769,0,0,0,0.9230769231,0,0.0061388898,b,3
white,0,1,9,0,2,1,169,6,187,0.1931368692,0.0481283422,0,0.0106951872,0.0053475936,0.9037433155,0.0320855615,0.006022317,b,3
earth,0,1,2,0,0,0,26,0,28,-0.0729816435,0.0714285714,0,0,0,0.9285714286,0,0.0058322588,b,3
named,0,1,1,0,0,0,13,0,14,-0.0964134623,0.0714285714,0,0,0,0.9285714286,0,0.0058322588,b,3
right,0,1,2,0,1,0,52,3,58,-0.0227706034,0.0344827586,0,0.0172413793,0,0.8965517241,0.0517241379,0.0057973176,b,3
state,0,1,12,0,0,0,214,0,226,0.2584112214,0.0530973451,0,0,0,0.9469026549,0,0.0049241233,b,3
ppl,0,1,0,0,1,1,33,1,36,-0.0595920328,0,0,0.0277777778,0.0277777778,0.9166666667,0.0277777778,0.0049030108,b,3
forget,0,1,0,0,0,1,15,0,16,-0.0930660596,0,0,0,0.0625,0.9375,0,0.0048366503,b,3
truly,0,1,1,0,0,1,35,0,37,-0.0579183315,0.027027027,0,0,0.027027027,0.9459459459,0,0.0047407972,b,3
stand,0,1,0,0,1,2,44,0,47,-0.0411813181,0,0,0.0212765957,0.0425531915,0.9361702128,0,0.0046504715,b,3
young,0,1,1,0,1,0,32,0,34,-0.0629394355,0.0294117647,0,0.0294117647,0,0.9411764706,0,0.0046206331,b,3
integration,0,1,1,0,0,0,21,0,22,-0.0830238516,0.0454545455,0,0,0,0.9545454545,0,0.0045922131,b,3
defend,0,1,2,0,0,0,46,0,48,-0.0395076168,0.0416666667,0,0,0,0.9583333333,0,0.0044368746,b,3
peace,0,1,1,0,5,0,147,5,158,0.1445995304,0.0063291139,0,0.0316455696,0,0.9303797468,0.0316455696,0.0043876923,b,3
way,0,1,0,0,0,1,21,0,22,-0.0830238516,0,0,0,0.0454545455,0.9545454545,0,0.0042583239,b,3
interviews,0,1,6,0,0,0,181,2,189,0.1964842719,0.0317460317,0,0,0,0.9576719577,0.0105820106,0.0042561447,b,3
times,0,1,1,0,0,0,77,4,82,0.0173982287,0.012195122,0,0,0,0.9390243902,0.0487804878,0.0042533814,b,3
people,0,1,1,0,17,0,320,3,341,0.4508868753,0.0029325513,0,0.0498533724,0,0.9384164223,0.008797654,0.0042095704,b,3
taught,0,1,0,0,0,0,14,1,15,-0.0947397609,0,0,0,0,0.9333333333,0.0666666667,0.004141764,b,3
books,0,1,12,0,1,0,358,0,371,0.5010979154,0.0323450135,0,0.0026954178,0,0.9649595687,0,0.0041348274,b,3
honor,0,1,1,0,0,0,115,6,122,0.0843462822,0.0081967213,0,0,0,0.9426229508,0.0491803279,0.0041099922,b,3
reading,0,1,1,0,1,0,60,1,63,-0.0144020967,0.0158730159,0,0.0158730159,0,0.9523809524,0.0158730159,0.0040980959,b,3
made,0,1,1,0,0,0,44,1,46,-0.0428550194,0.0217391304,0,0,0,0.9565217391,0.0217391304,0.004091929,b,3
white supremacy,0,2,1,0,0,0,38,0,39,-0.0545709288,0.0256410256,0,0,0,0.9743589744,0,0.0039850957,b,3
scene,0,1,1,0,0,0,33,0,34,-0.0629394355,0.0294117647,0,0,0,0.9705882353,0,0.0039725945,b,3
blacks,0,1,2,0,1,0,88,0,91,0.0324615408,0.021978022,0,0.010989011,0,0.967032967,0,0.0039291644,b,3
92nd birthday,0,2,0,26,0,0,496,0,522,0.7538268175,0,0.0498084291,0,0,0.9501915709,0,0.0039221309,b,3
critics,0,1,1,0,0,0,35,0,36,-0.0595920328,0.0277777778,0,0,0,0.9722222222,0,0.0039148438,b,3
tribute,0,1,1,0,0,0,35,0,36,-0.0595920328,0.0277777778,0,0,0,0.9722222222,0,0.0039148438,b,3
success,0,1,1,0,0,0,36,0,37,-0.0579183315,0.027027027,0,0,0,0.972972973,0,0.0038886208,b,3
birthday,0,1,15,0,0,1,901,16,933,1.4417180674,0.0160771704,0,0,0.0010718114,0.9657020364,0.0171489818,0.0038385734,b,3
justice,0,1,2,0,4,0,201,2,209,0.2299582987,0.009569378,0,0.019138756,0,0.961722488,0.009569378,0.0038264061,b,3
die,0,1,0,0,0,1,32,0,33,-0.0646131368,0,0,0,0.0303030303,0.9696969697,0,0.0038089958,b,3
new,0,1,0,0,1,1,54,0,56,-0.0261180061,0,0,0.0178571429,0.0178571429,0.9642857143,0,0.0038068999,b,3
guilty,0,1,1,0,0,0,42,0,43,-0.0478761235,0.023255814,0,0,0,0.976744186,0,0.0037597968,b,3
free,0,1,0,0,0,2,109,1,112,0.0676092689,0,0,0,0.0178571429,0.9732142857,0.0089285714,0.0036209649,b,3
knew,0,1,0,0,0,1,47,0,48,-0.0395076168,0,0,0,0.0208333333,0.9791666667,0,0.0035555026,b,3
born,0,1,13,0,38,1,5238,52,5342,8.8210672671,0.0024335455,0,0.0071134407,0.0001871958,0.9805316361,0.009734182,0.0033869336,b,3
greatest leaders,0,2,2,0,0,0,774,0,776,1.1789469574,0.0025773196,0,0,0,0.9974226804,0,0.0032868162,b,3
color,0,1,1,0,0,0,290,2,293,0.3705492111,0.0034129693,0,0,0,0.9897610922,0.0068259386,0.003251178,b,3
day,0,1,15,0,0,1,4792,28,4836,7.97417439,0.003101737,0,0,0.0002067825,0.9909015715,0.005789909,0.0032323194,b,3
af,0,1,0,0,0,1,217,1,219,0.246695312,0,0,0,0.00456621,0.9908675799,0.00456621,0.0032275321,b,3
man,0,1,0,0,0,16,3757,11,3784,6.2134405823,0,0,0,0.0042283298,0.9928646934,0.0029069767,0.0031963921,b,3
see,0,1,0,0,0,1,393,2,396,0.5429404489,0,0,0,0.0025252525,0.9924242424,0.0050505051,0.0031876536,b,3
freedom,0,1,0,0,0,3,1023,3,1029,1.6023933959,0,0,0,0.0029154519,0.9941690962,0.0029154519,0.0031667466,b,3
hate,0,1,0,0,0,0,136,1,137,0.1094518023,0,0,0,0,0.9927007299,0.0072992701,0.0031618862,b,3
violence,0,1,1,0,0,0,585,1,587,0.8626174045,0.0017035775,0,0,0,0.996592845,0.0017035775,0.0031316804,b,3
minister,0,1,2,0,0,0,1471,0,1473,2.34551679,0.0013577733,0,0,0,0.9986422267,0,0.0030991145,b,3
future,0,1,0,0,0,0,63,0,63,-0.0144020967,0,0,0,0,1,0,0.003062616,b,3
1960s,0,1,0,0,0,0,5,0,5,-0.1114767743,0,0,0,0,1,0,0.003062616,b,3
