,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,evictionFlag,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
4760,registered sex offender anthony weiner,11,5,6,945,0,0,0,4,955,0,0.7381530214428675,0.0062827225130890054,0.9895287958115183,0.0,0.0,0.0,0.004188481675392671,0.489246515306337,a
4764,dressing rooms,2,2,1,0,0,0,198,0,199,0,0.06847959894671993,0.005025125628140704,0.0,0.0,0.0,0.9949748743718593,0.0,0.0029956836757399383,b
4766,years,1,1,3,0,1,8,1953,48,2013,0,1.6753414883753068,0.0014903129657228018,0.0,0.0004967709885742673,0.003974167908594138,0.970193740685544,0.02384500745156483,0.0036479257624699043,b
4767,interesting timing,10,2,110,4,0,0,1,0,115,0,-0.0059285591084075745,0.9565217391304348,0.034782608695652174,0.0,0.0,0.008695652173913044,0.0,0.9794927985276795,g
4771,trending,2,1,4,0,2,0,526,50,582,0,0.40774536722188465,0.006872852233676976,0.0,0.003436426116838488,0.0,0.9037800687285223,0.0859106529209622,0.005011434734391691,b
4776,dem,0,1,285,0,0,9,16,12,322,0,0.17743440181315662,0.8850931677018633,0.0,0.0,0.027950310559006212,0.049689440993788817,0.037267080745341616,0.9769587158542405,g
4777,grateful,16,1,3,0,15,0,911,13,942,0,0.7266374731724311,0.0031847133757961785,0.0,0.01592356687898089,0.0,0.9670912951167728,0.013800424628450107,0.003719088438839308,b
4782,pushing anthony weiner,9,3,1,273,0,0,0,0,274,0,0.13491545435308377,0.0036496350364963502,0.9963503649635036,0.0,0.0,0.0,0.0,0.28476465770445347,b
4795,pleaded guilty,15,2,1,2,0,0,81,0,84,0,-0.0333887126763713,0.011904761904761904,0.023809523809523808,0.0,0.0,0.9642857142857143,0.0,0.0034857777285124654,b
4799,vile,13,1,1,0,0,0,26,2,29,0,-0.08210833997437145,0.034482758620689655,0.0,0.0,0.0,0.896551724137931,0.06896551724137931,0.005822901421672449,b
4800,crazy,0,1,1,0,5,0,86,3,95,0,-0.023644787216771268,0.010526315789473684,0.0,0.05263157894736842,0.0,0.9052631578947369,0.031578947368421054,0.005201248158368085,b
4807,louise mensch,0,2,63,2,0,0,4,0,69,0,-0.04667588375764407,0.9130434782608695,0.028985507246376812,0.0,0.0,0.057971014492753624,0.0,0.9688039232543623,g
4808,send anthony weiner,6,3,64,5,0,0,0,0,69,0,-0.04667588375764407,0.927536231884058,0.07246376811594203,0.0,0.0,0.0,0.0,0.9511587778280178,g
4811,question,3,1,2,0,6,0,60,1,69,0,-0.04667588375764407,0.028985507246376812,0.0,0.08695652173913043,0.0,0.8695652173913043,0.014492753623188406,0.006839048389598266,b
4815,satan,8,1,1,0,0,10,0,1,12,0,-0.09716713386648058,0.08333333333333333,0.0,0.0,0.8333333333333334,0.0,0.08333333333333333,0.9337155532427306,g
4816,feds,0,1,5,0,9,0,1,0,15,0,-0.09450969965022604,0.3333333333333333,0.0,0.6,0.0,0.06666666666666667,0.0,0.8097548652282213,g
