,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
303,learn,0,1,1,0,1,0,1,1,4,-0.09950463006857185,0.25,0.0,0.25,0.0,0.25,0.25,0.39040288910669524,b
306,house republicans,0,2,34,0,0,0,0,2,36,2.000213643744126,0.9444444444444444,0.0,0.0,0.0,0.0,0.05555555555555555,0.9701664618811209,g
309,malibu,0,1,3,0,0,0,0,0,3,-0.16512082612521867,1.0,0.0,0.0,0.0,0.0,0.0,0.9837785997554575,g
314,real,0,1,0,0,1,1,15,3,20,0.9503545068377771,0.0,0.0,0.05,0.05,0.75,0.15,0.010964347827153565,b
315,holocaust,0,1,1,0,0,0,0,2,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.7718869696353314,g
316,dem,0,1,1,0,0,0,1,1,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3278002277706861,b
324,jolene,0,1,5,0,0,0,0,1,6,0.03172776204472176,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.9697719424797245,g
325,usa,0,1,0,0,0,5,0,1,6,0.03172776204472176,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.9049947264264412,g
328,guilt,0,1,0,0,0,1,8,2,11,0.3598087423279558,0.0,0.0,0.0,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.013649673120455754,b
338,rice,0,1,4,0,0,0,0,0,4,-0.09950463006857185,1.0,0.0,0.0,0.0,0.0,0.0,0.9837785997554575,g
340,big,0,1,0,0,0,2,9,4,15,0.622273526554543,0.0,0.0,0.0,0.13333333333333333,0.6,0.26666666666666666,0.03178258319735017,b
342,con,0,1,1,0,1,0,2,0,4,-0.09950463006857185,0.25,0.0,0.25,0.0,0.5,0.0,0.12216898323203958,b
343,shit,0,1,0,0,1,1,30,3,35,1.934597447687479,0.0,0.0,0.02857142857142857,0.02857142857142857,0.8571428571428571,0.08571428571428572,0.005830200558380989,b
346,knew,0,1,0,0,0,1,4,0,5,-0.033888434011925046,0.0,0.0,0.0,0.2,0.8,0.0,0.012795491179068719,b
347,military,0,1,1,0,0,0,2,1,4,-0.09950463006857185,0.25,0.0,0.0,0.0,0.5,0.25,0.10570005419110898,b
349,liam payne,0,2,2,0,0,0,0,2,4,-0.09950463006857185,0.5,0.0,0.0,0.0,0.0,0.5,0.836540614665685,g
350,winning,0,1,0,0,0,1,4,2,7,0.09734395810136857,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.03858500353952293,b
357,back,0,1,0,0,2,1,25,7,35,1.934597447687479,0.0,0.0,0.05714285714285714,0.02857142857142857,0.7142857142857143,0.2,0.01264619660315193,b
358,dead,0,1,1,0,0,0,3,1,5,-0.033888434011925046,0.2,0.0,0.0,0.0,0.6,0.2,0.051219678563270546,b
360,carson,0,1,3,0,0,0,0,1,4,-0.09950463006857185,0.75,0.0,0.0,0.0,0.0,0.25,0.9576498400220211,g
363,frankie,0,1,11,0,6,0,0,3,20,0.9503545068377771,0.55,0.0,0.3,0.0,0.0,0.15,0.9224472451559018,g
364,carter page,0,2,221,1,0,0,6,40,268,17.223171128886186,0.8246268656716418,0.0037313432835820895,0.0,0.0,0.022388059701492536,0.14925373134328357,0.9482958436201248,g
368,intel,0,1,2,0,0,0,2,0,4,-0.09950463006857185,0.5,0.0,0.0,0.0,0.5,0.0,0.27697005370975003,b
370,rodriguez,0,1,3,0,2,0,0,0,5,-0.033888434011925046,0.6,0.0,0.4,0.0,0.0,0.0,0.9402248081367125,g
381,2nd,0,1,0,0,0,0,3,1,4,-0.09950463006857185,0.0,0.0,0.0,0.0,0.75,0.25,0.009475172254257685,b
385,passed a bill,0,3,1,0,0,0,2,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.08468673482897544,b
387,spicer,0,1,5,0,4,0,1,0,10,0.294192546271309,0.5,0.0,0.4,0.0,0.1,0.0,0.849320818918366,g
391,ronaldo,0,1,1,0,2,0,0,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.8450014030676335,g
392,tv,0,1,0,0,0,1,3,0,4,-0.09950463006857185,0.0,0.0,0.0,0.25,0.75,0.0,0.019539397710987887,b
393,fbi granted fisa warrant,0,4,1,3,0,0,0,0,4,-0.09950463006857185,0.25,0.75,0.0,0.0,0.0,0.0,0.4315300052926599,a
396,yair,0,1,12,0,4,0,0,2,18,0.8191221147244835,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.9498466754124032,g
397,congressmen,0,1,1,0,0,0,2,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.061188566395907265,b
399,privilege,0,1,0,0,0,1,8,4,13,0.4910411344412494,0.0,0.0,0.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,0.024910353927061663,b
403,wh,0,1,0,0,0,3,0,1,4,-0.09950463006857185,0.0,0.0,0.0,0.75,0.0,0.25,0.8817155698936989,g
405,titanium,0,1,2,1,0,0,1,0,4,-0.09950463006857185,0.5,0.25,0.0,0.0,0.25,0.0,0.6537353346108955,a
