,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted
435,comrade comey,0,2,1,0,0,0,0,0,1,-0.2963532182385123
436,civil war,0,2,1,1,0,0,0,0,2,-0.23073702218186548
437,love masvidal,0,2,1,0,0,0,0,0,1,-0.2963532182385123
438,greatness back,0,2,1,0,0,0,0,0,1,-0.2963532182385123
439,maia,0,1,77,0,31,0,0,4,112,6.987044544049284
440,sounds,0,1,1,0,1,0,6,0,8,0.16296015415801537
441,el joven diario,0,3,1,0,0,0,0,0,1,-0.2963532182385123
442,getting,0,1,1,0,0,0,11,3,15,0.622273526554543
443,avril,0,1,1,0,0,0,0,0,1,-0.2963532182385123
444,soon,0,1,0,0,0,1,7,0,8,0.16296015415801537
445,2 dems,0,2,0,0,0,1,0,0,1,-0.2963532182385123
446,buy,0,1,2,0,2,0,2,0,6,0.03172776204472176
447,white supremacists,0,2,0,0,0,1,1,1,3,-0.16512082612521867
448,tv ufc 211 live stream edgar,0,6,0,1,0,0,0,0,1,-0.2963532182385123
449,camila cabello,0,2,1,0,0,0,0,2,3,-0.16512082612521867
450,hate white people,0,3,2,1,0,0,0,1,4,-0.09950463006857185
451,actually,0,1,1,0,3,0,14,2,20,0.9503545068377771
452,vlad putin,0,2,1,0,0,0,0,0,1,-0.2963532182385123
453,lgbt,0,1,0,0,0,1,0,0,1,-0.2963532182385123
454,🚫h8,0,1,0,0,0,1,0,0,1,-0.2963532182385123
455,carter page the washington post,0,5,1,0,0,0,0,0,1,-0.2963532182385123
456,american health care act,0,4,2,0,0,0,0,0,2,-0.23073702218186548
457,read,0,1,1,0,1,5,11,2,20,0.9503545068377771
458,germany,0,1,2,0,2,0,0,0,4,-0.09950463006857185
459,maia with the linkin park,0,5,1,0,0,0,0,0,1,-0.2963532182385123
460,trumped,0,1,1,0,0,0,0,0,1,-0.2963532182385123
461,chris hayes,0,2,2,0,0,0,0,1,3,-0.16512082612521867
462,jimmy fallon sing,0,3,1,0,0,0,0,0,1,-0.2963532182385123
463,royce 2.0,0,2,0,1,0,0,0,0,1,-0.2963532182385123
464,lucie jones,0,2,2,0,0,0,0,0,2,-0.23073702218186548
465,ukranian,0,1,1,0,0,0,0,0,1,-0.2963532182385123
466,australia,0,1,6,2,2,0,3,6,19,0.8847383107811303
467,pastor jerry,0,2,1,0,0,0,0,0,1,-0.2963532182385123
468,wrestlemania,0,1,1,0,0,0,0,0,1,-0.2963532182385123
469,report,0,1,2,0,8,0,7,4,21,1.0159707028944238
470,canadian,0,1,4,0,0,0,0,0,4,-0.09950463006857185
471,ronaldo,0,1,1,0,2,0,0,0,3,-0.16512082612521867
472,chase sherman,0,2,1,0,0,0,0,0,1,-0.2963532182385123
473,finnish,0,1,1,0,0,0,0,0,1,-0.2963532182385123
474,mary,0,1,1,0,1,0,0,0,2,-0.23073702218186548
475,civil rights laws,0,3,1,0,0,0,0,0,1,-0.2963532182385123
476,donald,0,1,3,0,0,0,1,0,4,-0.09950463006857185
477,north america,0,2,1,0,0,0,0,1,2,-0.23073702218186548
478,free wango tango,0,3,1,0,0,0,0,0,1,-0.2963532182385123
479,kittens,0,1,1,0,0,0,1,0,2,-0.23073702218186548
480,white house,0,2,2,0,0,0,0,1,3,-0.16512082612521867
481,the human cellophane,0,3,1,0,0,0,0,0,1,-0.2963532182385123
482,joe,0,1,3,0,0,0,0,1,4,-0.09950463006857185
483,ukraine,0,1,6,0,2,0,0,0,8,0.16296015415801537
484,mma tycoon,0,2,1,0,0,0,0,0,1,-0.2963532182385123
485,united states,0,2,1,0,0,0,0,1,2,-0.23073702218186548
486,lynch,0,1,4,0,0,0,0,1,5,-0.033888434011925046
487,ceo of russia oil,0,4,1,0,0,0,0,0,1,-0.2963532182385123
488,far,0,1,0,0,0,1,7,0,8,0.16296015415801537
489,party,0,1,1,0,2,0,17,3,23,1.1472030950077174
490,washington post,0,2,23,0,0,0,0,0,23,1.1472030950077174
491,linkin park,0,2,20,2,0,0,2,5,29,1.540900271347598
492,red people,0,2,0,0,0,1,0,0,1,-0.2963532182385123
493,otc,0,1,0,0,0,1,0,0,1,-0.2963532182385123
494,blacks,0,1,1,0,1,0,3,0,5,-0.033888434011925046
495,vets,0,1,1,0,0,0,0,0,1,-0.2963532182385123
496,netherlands,0,1,1,0,0,0,0,1,2,-0.23073702218186548
497,george soros,0,2,6,0,0,0,0,2,8,0.16296015415801537
498,gop,0,1,1,0,0,24,0,5,30,1.606516467404245
499,cnn,0,1,0,0,0,5,1,1,7,0.09734395810136857
500,zedd,0,1,3,0,0,0,1,2,6,0.03172776204472176
501,céline dion,0,2,1,0,0,0,0,0,1,-0.2963532182385123
502,darth vader,0,2,1,0,0,0,0,0,1,-0.2963532182385123
503,2day,0,1,0,0,0,0,2,0,2,-0.23073702218186548
504,moon,0,1,1,0,0,0,1,0,2,-0.23073702218186548
505,dark,0,1,0,0,0,1,2,0,3,-0.16512082612521867
506,rosneft,0,1,1,0,0,0,0,0,1,-0.2963532182385123
507,i want candy,0,3,2,0,0,0,0,0,2,-0.23073702218186548
508,new,0,1,1,0,2,1,19,5,28,1.4752840752909513
509,single day,0,2,0,0,0,1,0,0,1,-0.2963532182385123
510,italian,0,1,1,0,0,0,0,0,1,-0.2963532182385123
511,democrat,0,1,1,0,0,0,0,0,1,-0.2963532182385123
512,proud,0,1,2,0,3,1,22,1,29,1.540900271347598
513,beast,0,1,0,0,0,3,4,0,7,0.09734395810136857
514,agent 47 of ufc,0,4,0,1,0,0,0,0,1,-0.2963532182385123
515,congressional house,0,2,1,0,0,0,0,0,1,-0.2963532182385123
516,mothers,0,1,1,0,0,0,1,0,2,-0.23073702218186548
517,twood,0,1,1,0,0,0,0,0,1,-0.2963532182385123
518,election day,0,2,1,0,0,0,0,0,1,-0.2963532182385123
519,buzina,0,1,1,0,0,0,0,0,1,-0.2963532182385123
520,lee lin,0,2,1,0,0,0,0,0,1,-0.2963532182385123
521,spurs,0,1,2,0,0,0,0,0,2,-0.23073702218186548
522,eric allen bell,0,3,2,0,0,0,0,0,2,-0.23073702218186548
523,chester bennington,0,2,1,0,0,0,0,0,1,-0.2963532182385123
524,flynn,0,1,9,0,0,1,0,0,10,0.294192546271309
525,michelob lites,0,2,1,0,0,0,0,0,1,-0.2963532182385123
526,jason blossom,0,2,1,0,0,0,0,0,1,-0.2963532182385123
527,uk,0,1,0,0,0,9,3,2,14,0.5566573304978962
528,niall horan,0,2,2,0,0,0,0,0,2,-0.23073702218186548
529,best eurovision,0,2,1,1,0,0,0,1,3,-0.16512082612521867
530,o'care,0,1,1,0,0,0,0,0,1,-0.2963532182385123
531,yair rodríguez,0,2,1,0,0,0,0,0,1,-0.2963532182385123
532,christian,0,1,7,0,0,0,0,0,7,0.09734395810136857
